phoneme,name,latitude,longitude
04232,Jackson,32.316,-90.213
03595,Gulfport,30.367,-89.093
00769,Biloxi,30.396,-88.885
06307,Olive Branch,34.962,-89.830
08677,Tupelo,34.258,-88.703
05469,Meridian,32.364,-88.704
03548,Greenville,33.410,-91.062
05132,Madison,32.462,-90.115
01741,Clinton,32.342,-90.322
06572,Pearl,32.275,-90.132
06437,Oxford,34.367,-89.519
01006,Brandon,32.273,-89.986
08164,Starkville,33.450,-88.818
07240,Ridgeland,32.428,-90.132
01849,Columbus,33.496,-88.427
08868,Vicksburg,32.353,-90.878
03856,Hernando,34.824,-89.994
04714,Laurel,31.694,-89.131
04971,Long Beach,30.350,-89.153
01694,Clarksdale,34.200,-90.571
01942,Corinth,34.934,-88.522
03552,Greenwood,33.516,-90.180
05902,Natchez,31.560,-91.403
03557,Grenada,33.769,-89.808
01265,Byram,32.179,-90.245
05360,McComb,31.244,-90.453
01105,Brookhaven,31.579,-90.441
01732,Cleveland,33.744,-90.725
01353,Canton,32.613,-90.037
09150,West Point,33.608,-88.650
04152,Indianola,33.451,-90.655
00944,Booneville,34.658,-88.567
08116,St. Martin,30.438,-88.868
05947,New Albany,34.494,-89.008
00522,Batesville,34.312,-89.944
07222,Richland,32.239,-90.158
09045,Waveland,30.287,-89.376
04533,Kosciusko,33.058,-89.588
06662,Philadelphia,32.772,-89.117
03986,Holly Springs,34.768,-89.449
04704,Latimer,30.535,-88.867
05030,Louisville,33.124,-89.055
01835,Columbia,31.252,-89.838
01413,Carthage,32.733,-89.536
06862,Pontotoc,34.248,-88.999
07269,Ripley,34.730,-88.951
03056,Forest,32.365,-89.474
07555,Saltillo,34.376,-88.682
00008,Aberdeen,33.825,-88.544
02116,Crystal Springs,31.987,-90.357
03027,Florence,32.153,-90.131
09051,Waynesboro,31.675,-88.646
02708,Ellisville,31.604,-89.196
09360,Winona,33.482,-89.728
09279,Wiggins,30.858,-89.135
03195,Fulton,34.274,-88.409
04783,Leland,33.405,-90.898
05140,Magee,31.874,-89.734
06575,Pearl River,32.783,-89.228
00612,Beechwood,32.328,-90.827
04050,Houston,33.898,-88.999
05750,Morton,32.354,-89.655
03804,Hazlehurst,31.860,-90.396
08758,University,34.366,-89.525
05998,New Hope,33.468,-88.327
09022,Water Valley,34.151,-89.631
06068,Newton,32.321,-89.163
04222,Iuka,34.812,-88.190
02797,Escatawpa,30.440,-88.544
06079,Nicholson,30.477,-89.694
08858,Verona,34.194,-88.720
01062,Bridgetown,34.890,-89.905
05125,Macon,33.105,-88.561
06280,Okolona,34.002,-88.755
03975,Hollandale,33.169,-90.854
01828,Collins,31.645,-89.555
05450,Mendenhall,31.962,-89.870
02501,Durant,33.075,-89.855
03889,Hide-A-Way Lake,30.565,-89.640
02921,Farmington,34.930,-88.452
05094,Lynchburg,34.962,-90.096
07791,Shelby,33.951,-90.768
08737,Union,32.571,-89.115
07021,Quitman,32.040,-88.728
06994,Purvis,31.143,-89.410
05709,Moorhead,33.450,-90.506
05943,Nettleton,34.083,-88.626
07772,Sharon,31.790,-89.099
06795,Pleasant Hill,34.914,-89.894
05144,Magnolia,31.143,-90.459
07090,Raymond,32.259,-90.423
00664,Belmont,34.510,-88.209
05093,Lyman,30.495,-89.126
09107,Wesson,31.700,-90.395
02441,Drew,33.810,-90.526
01567,Charleston,34.007,-90.057
06214,Oak Grove,31.286,-89.414
05248,Marion,32.417,-88.648
01830,Collinsville,32.498,-88.846
02276,DeLisle,30.379,-89.264
03352,Glendale,31.365,-89.306
07639,Sardis,34.437,-89.916
02239,Decatur,32.439,-89.108
01722,Cleary,32.166,-90.181
03025,Flora,32.543,-90.309
01141,Bruce,33.992,-89.349
05073,Lumberton,31.006,-89.459
07396,Rosedale,33.853,-91.028
04826,Lexington,33.113,-90.053
00021,Ackerman,33.310,-89.173
07767,Shannon,34.116,-88.712
08299,Summit,31.284,-90.468
07782,Shaw,33.601,-90.772
08922,Wade,30.642,-88.570
02938,Fayette,31.712,-91.061
01810,Coldwater,34.692,-89.977
04099,Hurley,30.661,-88.494
08463,Terry,32.096,-90.294
05255,Marks,34.257,-90.272
08968,Walls,34.958,-90.152
05682,Monticello,31.554,-90.107
01263,Byhalia,34.872,-89.691
04652,Lambert,34.202,-90.283
01525,Centreville,31.087,-91.065
06877,Port Gibson,31.961,-90.984
03402,Goodman,32.970,-89.912
01286,Caledonia,33.683,-88.324
08433,Taylorsville,31.830,-89.428
05730,Morgantown,31.573,-91.348
02819,Etta,34.470,-89.228
01860,Como,34.511,-89.940
03931,Hillsboro,32.459,-89.511
08870,Victoria,34.846,-89.618
09230,White Oak,34.646,-90.354
07051,Raleigh,32.033,-89.522
08672,Tunica,34.685,-90.383
02632,Edwards,32.330,-90.606
06952,Prentiss,31.599,-89.867
04316,Jonestown,34.320,-90.456
08320,Sunflower,33.543,-90.537
02675,Elliott,33.683,-89.749
01115,Brooksville,33.235,-88.582
06678,Pickens,32.884,-89.971
05798,Mount Olive,31.761,-89.655
03372,Gloster,31.197,-91.022
09433,Woodville,31.105,-91.300
02229,De Kalb,32.768,-88.651
08223,Stonewall,32.132,-88.793
01232,Burnsville,34.841,-88.315
05708,Mooreville,34.265,-88.577
06782,Plantersville,34.213,-88.665
04182,Inverness,33.354,-90.593
03822,Helena,30.495,-88.496
00889,Blue Mountain,34.671,-89.026
08664,Tucker,32.707,-89.054
01794,Coffeeville,33.977,-89.676
05488,Metcalfe,33.454,-91.007
05105,Maben,33.554,-89.081
08779,Vaiden,33.332,-89.741
00114,Algoma,34.176,-89.031
07144,Redwater,32.767,-89.537
08971,Walnut,34.946,-88.900
08477,Thaxton,34.308,-89.178
07175,Renova,33.779,-90.721
00582,Beaumont,31.169,-88.920
03818,Heidelberg,31.887,-88.984
08773,Utica,32.110,-90.623
07598,Sandersville,31.787,-89.032
02042,Crenshaw,34.505,-90.195
07811,Sherman,34.361,-88.839
06842,Polkville,32.194,-89.693
04831,Liberty,31.158,-90.812
01753,Cloverdale,31.498,-91.421
02092,Crowder,34.173,-90.138
03659,Hamilton,33.738,-88.445
00981,Boyle,33.704,-90.726
07930,Smithville,34.070,-88.391
00961,Bovina,32.352,-90.735
00327,Ashland,34.833,-89.176
00931,Bond,30.894,-89.169
03878,Hickory Flat,34.616,-89.188
03763,Hatley,33.977,-88.421
02777,Enterprise,32.174,-88.831
00914,Bogue Chitto,32.832,-88.918
00215,Anguilla,32.974,-90.825
05875,Myrtle,34.558,-89.119
08975,Walnut Grove,32.590,-89.458
08622,Tremont,34.235,-88.259
02475,Dumas,34.640,-88.844
01996,Courtland,34.241,-89.943
04594,Lake,32.330,-89.314
06234,Oakland,34.056,-89.916
08166,State Line,31.436,-88.473
04641,Lakeview,34.989,-90.140
02893,Falkner,34.842,-88.934
09056,Weir,33.267,-89.291
00914,Bogue Chitto,31.439,-90.452
05417,Meadville,31.472,-90.897
00892,Blue Springs,34.402,-88.873
00927,Bolton,32.349,-90.460
02031,Crawford,33.302,-88.615
00692,Benton,32.826,-90.259
03874,Hickory,32.318,-89.026
04710,Lauderdale,32.521,-88.511
01676,Clara,31.581,-88.696
02823,Eudora,34.830,-90.149
08429,Taylor,34.272,-89.589
00003,Abbeville,34.503,-89.503
05994,New Hebron,31.731,-89.979
09062,Webb,33.947,-90.344
03337,Glen,34.858,-88.418
08552,Tishomingo,34.637,-88.232
00687,Benoit,33.651,-91.010
01401,Carrollton,33.508,-89.920
00060,Agricola,30.808,-88.520
02815,Ethel,33.120,-89.466
05355,McLain,31.109,-88.827
00731,Bethlehem,34.578,-89.328
05625,Mize,31.868,-89.556
00304,Artesia,33.415,-88.644
05756,Moselle,31.503,-89.279
07845,Sidon,33.408,-90.204
04626,Lake View,34.989,-90.141
07735,Seminary,31.562,-89.498
02519,Eagle Bend,32.521,-91.007
04985,Longview,33.404,-88.921
00264,Arcola,33.270,-90.880
05801,Mount Pleasant,34.956,-89.516
03602,Gunnison,33.944,-90.945
02957,Fernwood,31.186,-90.449
00583,Beauregard,31.722,-90.382
05099,Lyon,34.218,-90.542
02231,De Soto,31.974,-88.713
09200,Wheeler,34.580,-88.608
02481,Duncan,34.045,-90.745
06865,Pope,34.215,-89.948
07716,Sebastopol,32.568,-89.334
02103,Cruger,33.321,-90.232
08302,Sumner,33.971,-90.369
02927,Farrell,34.264,-90.672
03279,Georgetown,31.872,-90.165
00734,Beulah,33.787,-90.980
05197,Mantee,33.732,-89.055
01376,Cary,32.806,-90.927
02077,Crosby,31.274,-91.062
01760,Coahoma,34.367,-90.523
03160,French Camp,33.293,-89.400
07860,Silver City,33.097,-90.497
07112,Red Banks,34.828,-89.564
08268,Sturgis,33.345,-89.045
05726,Morgan City,33.381,-90.350
04130,Independence,34.705,-89.809
05245,Marietta,34.502,-88.469
05068,Lula,34.453,-90.479
02574,Eastabuchie,31.436,-89.283
06442,Pace,33.791,-90.857
03383,Golden,34.488,-88.189
06542,Pattison,31.889,-90.887
07862,Silver Creek,31.605,-89.998
05028,Louise,32.982,-90.589
02293,Dennis,34.559,-88.226
06499,Paris,34.179,-89.460
04536,Kossuth,34.872,-88.646
04529,Kokomo,31.198,-90.003
04750,Lena,32.594,-89.612
09108,West,33.197,-89.777
06763,Pittsboro,33.940,-89.338
03356,Glendora,33.829,-90.293
02604,Eden,32.985,-90.323
00748,Big Creek,33.853,-89.411
02676,Elizabeth,33.424,-90.881
06033,New Site,34.559,-88.409
02203,Darling,34.359,-90.274
00905,Bobo,34.132,-90.676
03970,Holcomb,33.761,-89.976
02890,Falcon,34.393,-90.256
09025,Waterford,34.648,-89.457
09411,Woodland,33.779,-89.051
01660,Church Hill,31.716,-91.238
05688,Montrose,32.124,-89.236
06448,Paden,34.660,-88.266
08194,Stewart,33.451,-89.436
09369,Winterville,33.502,-91.058
07687,Scott,33.592,-91.074
02574,Eastabuchie,31.429,-89.290
07146,Redwood,32.478,-90.804
03430,Grace,32.999,-90.956
02484,Dundee,34.524,-90.456
08800,Valley Park,32.633,-90.867
02370,Doddsville,33.658,-90.525
04745,Leaf,31.026,-88.796
04228,Jacinto,34.760,-88.428
00373,Austin,34.641,-90.449
00924,Bolivar,33.660,-91.053
04649,Lamar,34.917,-89.318
08222,Stoneville,33.424,-90.915
06890,Porterville,32.688,-88.472
02460,Dublin,34.072,-90.491
08667,Tula,34.233,-89.362
00004,Abbott,33.680,-88.774
00125,Allen,34.146,-90.234
00154,Alpine,34.495,-88.798
00172,Alva,33.638,-89.507
00199,Amy,31.777,-89.258
00226,Ansley,30.225,-89.484
00342,Athens,33.872,-88.442
00347,Atlanta,33.798,-89.147
00360,Auburn,31.359,-90.608
00369,Ora,31.658,-89.574
00377,Avalon,33.655,-90.086
00380,Avera,31.296,-88.741
00386,Avon,33.230,-91.047
00415,Bailey,32.468,-88.723
00420,Baird,33.425,-90.500
00440,Ballentine,34.394,-90.096
00455,Banks,34.826,-90.230
00457,Banner,34.089,-89.385
00473,Barksdale,34.224,-90.395
00501,Barton,34.964,-89.689
00513,Basin,30.803,-88.663
00528,Battlefield,32.547,-88.940
00578,Beatrice,30.739,-88.947
00596,Becker,33.933,-88.481
00621,Belen,34.273,-90.354
00645,Bellefontaine,33.649,-89.310
00649,Bellevue,31.310,-89.500
00650,Bellewood,33.232,-90.559
00690,Bently,33.758,-89.233
00697,Berclair,33.472,-90.365
00741,Bexley,30.967,-88.674
00770,Binford,33.753,-88.581
00782,Birdie,34.392,-90.382
00806,Black Hawk,33.326,-90.024
00830,Blaine,33.608,-90.522
00905,Bobo,34.284,-90.176
00963,Bowdre,34.797,-90.332
00979,Boyer,33.537,-90.638
00993,Bradley,33.374,-88.980
01023,Brazil,34.026,-90.281
01042,Brewer,34.148,-88.684
01079,Bristow,34.005,-88.364
01109,Brooklyn,31.056,-89.186
01123,Browning,33.518,-90.120
01135,Brownsville,32.449,-90.437
01187,Buena Vista,33.884,-88.838
01211,Burdett,33.348,-90.915
01231,Burnside,32.853,-89.103
01259,Buxton,34.548,-90.198
01277,Caile,33.300,-90.590
01309,Camden,32.782,-89.839
01330,Canaan,34.930,-89.127
01347,Cannonsburg,31.634,-91.211
01381,Carlisle,32.003,-90.784
01386,Carmichael,31.952,-88.585
01389,Carnes,30.994,-89.260
01391,Carolina,34.118,-88.482
01394,Carpenter,32.034,-90.680
01405,Carson,31.538,-89.795
01410,Carter,32.989,-90.449
01424,Cayce,34.955,-89.618
01426,Caseyville,31.673,-90.656
01468,Cayuga,32.159,-90.694
01482,Cedar Grove,32.349,-89.186
01540,Chalybeate,34.930,-88.868
01577,Chatham,33.101,-91.098
01594,Cheraw,31.156,-89.843
01597,Cherry Creek,34.351,-88.988
01609,Chester,33.359,-89.238
01645,Choctaw,33.558,-90.813
01645,Choctaw,32.778,-89.101
01654,Christmas,33.776,-90.978
01679,Claremont,34.121,-90.524
01704,Clay,34.270,-88.337
01709,Clayton,34.600,-90.416
01752,Clover Hill,34.275,-90.544
01790,Cockrum,34.803,-89.812
01815,Coles,31.277,-91.032
01890,Conn,31.898,-90.710
01922,Coosa,32.842,-89.422
01942,Corinth,31.344,-89.140
01982,Cottonville,34.659,-90.185
02006,Cowart,33.985,-90.178
02083,Cross Roads,32.249,-89.771
02084,Crossroads,30.885,-88.711
02123,Cullum,32.641,-88.608
02170,Daleville,32.570,-88.676
02254,Deerbrook,33.235,-88.487
02291,Denmark,34.311,-89.347
02299,Denton,34.146,-90.313
02368,Dockery,33.729,-90.617
02407,Dorsey,34.252,-88.510
02469,Duffee,32.489,-88.927
02490,Dunleith,33.436,-90.821
02513,Dwyer,33.564,-90.529
02530,Eagles Nest,34.292,-90.467
02561,East Lincoln,31.485,-90.292
02580,Eastland,33.651,-90.522
02585,Eastport,34.886,-88.101
02595,Ebenezer,32.971,-90.091
02620,Edinburg,32.799,-89.336
02634,Effie,33.935,-90.177
02640,Egremont,32.861,-90.903
02641,Egypt,33.898,-88.730
02641,Egypt,33.341,-90.277
02761,Energy,32.180,-88.550
02767,Enid,34.116,-89.939
02777,Enterprise,34.467,-89.157
02795,Erwin,33.104,-91.044
02800,Eskridge,33.575,-89.701
02806,Essex,34.330,-90.275
02834,Evansville,34.640,-90.389
02882,Fairview,33.509,-90.747
02902,Fame,33.664,-89.201
02906,Fannin,32.417,-89.957
03018,Flinn,34.046,-88.429
03020,Flint Hill,33.716,-88.276
03036,Flowers,32.389,-90.674
03069,Forreston,33.337,-88.314
03133,Franklin,33.036,-90.002
03187,Fruitland Park,30.916,-89.171
03297,Gholson,32.936,-88.734
03302,Gibson,33.840,-88.684
03338,Glen Allan,33.024,-91.030
03363,Glenville,34.528,-89.740
