phoneme,name,county,latitude,longitude
0443,Billings,Yellowstone County,45.783,-108.501
2186,Great Falls,Cascade County,47.500,-111.301
0733,Butte,Silver Bow County,45.896,-112.660
2404,Helena,Lewis and Clark County,46.593,-112.036
0353,Belgrade,Gallatin County,45.776,-111.177
0123,Anaconda,Deer Lodge County,46.095,-113.142
3365,Miles City,Custer County,46.408,-105.841
3012,Livingston,Park County,45.662,-110.561
1748,Evergreen,Flathead County,48.226,-114.276
2908,Laurel,Yellowstone County,45.669,-108.772
3021,Lockwood,Yellowstone County,45.819,-108.415
4699,Sidney,Richland County,47.717,-104.156
2957,Lewistown,Fergus County,47.062,-109.428
1925,Four Corners,Gallatin County,45.630,-111.186
1159,Columbia Falls,Flathead County,48.372,-114.182
2283,Hamilton,Ravalli County,46.247,-114.160
0441,Bigfork,Flathead County,48.063,-114.073
1437,Dillon,Beaverhead County,45.216,-112.638
2311,Hardin,Big Horn County,45.732,-107.612
2077,Glasgow,Valley County,48.197,-106.637
4675,Shelby,Toole County,48.505,-111.857
1381,Deer Lodge,Powell County,46.396,-112.730
2961,Libby,Lincoln County,48.388,-115.556
0671,Lakeside,Flathead County,48.019,-114.225
1180,Conrad,Pondera County,48.170,-111.946
3158,Manhattan,Gallatin County,45.857,-111.332
4891,Stevensville,Ravalli County,46.510,-114.093
5066,Three Forks,Gallatin County,45.892,-111.552
5113,Townsend,Broadwater County,46.319,-111.521
1161,Columbus,Stillwater County,45.637,-109.252
3151,Malta,Phillips County,48.360,-107.874
0252,Baker,Fallon County,46.367,-104.285
4465,Roundup,Musselshell County,46.445,-108.542
1959,Frenchtown,Missoula County,47.015,-114.230
4960,Sun Prairie,Cascade County,47.537,-111.481
1216,Corvallis,Ravalli County,46.314,-114.113
1902,Forsyth,Rosebud County,46.266,-106.678
1740,Eureka,Lincoln County,48.880,-115.053
0544,Boulder,Jefferson County,46.237,-112.121
1009,Chinook,Blaine County,48.590,-109.231
4754,Somers,Flathead County,48.080,-114.222
4070,Plains,Sanders County,47.460,-114.883
2379,Hays,Blaine County,47.989,-108.694
0760,Marion,Flathead County,48.106,-114.663
1171,Lincoln,Lewis and Clark County,46.955,-112.682
5496,Wye,Missoula County,46.953,-114.121
3915,Park City,Stillwater County,45.633,-108.918
5475,White Sulphur Springs,Meagher County,46.548,-110.902
5478,Whitehall,Jefferson County,45.871,-112.097
1021,Churchill,Gallatin County,45.751,-111.304
0647,Browning,Glacier County,48.557,-113.013
1867,Florence,Ravalli County,46.632,-114.079
1707,Ennis,Madison County,45.349,-111.730
4974,Superior,Mineral County,47.192,-114.892
0725,Fairview,Richland County,47.856,-104.045
4001,Philipsburg,Granite County,46.332,-113.294
0920,Chester,Liberty County,48.511,-110.967
5233,Vaughn,Cascade County,47.561,-111.546
0731,Troy,Lincoln County,48.463,-115.890
2004,Gardiner,Park County,45.032,-110.706
4681,Shepherd,Yellowstone County,45.944,-108.342
5121,Trego,Lincoln County,48.705,-114.869
1085,Clinton,Missoula County,46.769,-113.713
4176,Pray,Park County,45.380,-110.682
5175,Ulm,Cascade County,47.431,-111.507
4125,Poplar,Roosevelt County,48.113,-105.198
5253,Victor,Ravalli County,46.417,-114.150
2317,Harlem,Blaine County,48.533,-108.784
0192,Ashland,Rosebud County,45.594,-106.271
0644,Fairfield,Teton County,47.615,-111.980
1295,Culbertson,Roosevelt County,48.144,-104.517
4518,Sheridan,Madison County,45.455,-112.197
3538,Muddy,Big Horn County,45.622,-106.760
5457,Wheatland,Broadwater County,45.962,-111.577
0601,Bridger,Carbon County,45.296,-108.914
5309,Walkerville,Silver Bow County,46.034,-112.536
5468,White Haven,Lincoln County,48.345,-115.517
0865,Cascade,Cascade County,47.271,-111.701
2671,Joliet,Carbon County,45.485,-108.970
0437,Big Sandy,Chouteau County,48.179,-110.112
1027,Circle,McCone County,47.417,-105.592
2530,Hot Springs,Sanders County,47.609,-114.669
5042,Terry,Prairie County,46.793,-105.312
2556,Huntley,Yellowstone County,45.899,-108.302
5602,Worden,Yellowstone County,45.960,-108.161
0301,Batavia,Flathead County,48.182,-114.413
0830,Carlton,Missoula County,46.676,-114.079
0048,Alberton,Mineral County,47.002,-114.473
5207,Valier,Pondera County,48.308,-112.250
1943,Frazer,Valley County,48.059,-106.042
2644,Jefferson City,Jefferson County,46.388,-112.028
4861,Stanford,Judith Basin County,47.154,-110.218
0336,Beaver Creek,Hill County,48.554,-109.792
4374,Riverbend,Mineral County,47.152,-114.833
4840,St. Marie,Valley County,48.402,-106.533
0297,Basin,Jefferson County,46.271,-112.264
0622,Brockton,Roosevelt County,48.151,-104.917
2680,Jordan,Garfield County,47.321,-106.910
5161,Twin Bridges,Madison County,45.544,-112.331
1194,Coram,Flathead County,48.418,-114.046
4476,Rudyard,Hill County,48.560,-110.554
1790,Fallon,Prairie County,46.836,-105.119
4714,Simms,Cascade County,47.492,-111.928
1433,Dixon,Sanders County,47.317,-114.314
4383,Roberts,Carbon County,45.359,-109.168
4601,Savage,Richland County,47.454,-104.343
2678,Joplin,Liberty County,48.561,-110.772
3569,Nashua,Valley County,48.132,-106.356
1520,Dutton,Teton County,47.843,-111.712
1173,Condon,Missoula County,47.528,-113.711
1489,Drummond,Granite County,46.667,-113.147
2422,Herron,Hill County,48.525,-109.779
2422,Heron,Sanders County,48.059,-115.957
5134,Trout Creek,Sanders County,47.837,-115.598
0960,Charlo,Lake County,47.439,-114.172
3303,Medicine Lake,Sheridan County,48.501,-104.505
0223,Augusta,Lewis and Clark County,47.493,-112.392
2761,Kings Point,Lake County,47.768,-114.151
4500,Ryegate,Golden Valley County,46.297,-109.259
4806,Springhill,Gallatin County,45.839,-111.035
0351,Belfry,Carbon County,45.142,-109.005
5525,Willow Creek,Gallatin County,45.825,-111.645
5630,York,Lewis and Clark County,46.722,-111.752
2453,Highwood,Chouteau County,47.584,-110.790
4319,Rhodes,Flathead County,48.279,-114.474
2780,Klein,Musselshell County,46.404,-108.549
5277,Virginia City,Madison County,45.294,-111.946
2974,Lima,Beaverhead County,44.637,-112.592
1410,Denton,Fergus County,47.320,-109.947
5190,Unionville,Lewis and Clark County,46.541,-112.085
2042,Geraldine,Chouteau County,47.604,-110.266
2656,Jette,Lake County,47.717,-114.192
3458,Moore,Fergus County,46.976,-109.697
1243,Crane,Richland County,47.576,-104.262
1665,Elliston,Powell County,46.562,-112.431
2473,Hinsdale,Valley County,48.394,-107.085
2479,Hobson,Judith Basin County,47.001,-109.875
1912,Fort Smith,Big Horn County,45.313,-107.937
4092,Plevna,Fallon County,46.418,-104.521
