phoneme,name,county,latitude,longitude
01571,Charlotte,Mecklenburg County,35.227,-80.843
07051,Raleigh,Durham County / Wake County,35.830,-78.641
03542,Greensboro,Guilford County,36.073,-79.792
02503,Durham,Durham County / Orange County / Wake County,35.978,-78.900
02939,Fayetteville,Cumberland County,35.053,-78.878
01376,Cary,Chatham County / Durham County / Wake County,35.781,-78.823
09329,Wilmington,New Hanover County,34.226,-77.945
03896,High Point,Davidson County / Forsyth County / Guilford County / Randolph County,35.991,-79.993
01869,Concord,Cabarrus County,35.409,-80.580
00324,Asheville,Buncombe County,35.601,-82.554
03548,Greenville,Pitt County,35.613,-77.366
03258,Gastonia,Gaston County,35.262,-81.187
04237,Jacksonville,Onslow County,34.754,-77.430
00239,Apex,Wake County,35.733,-78.850
04093,Huntersville,Mecklenburg County,35.411,-80.843
01559,Chapel Hill,Durham County / Orange County,35.921,-79.045
01225,Burlington,Alamance County / Guilford County,36.076,-79.468
07348,Rocky Mount,Edgecombe County / Nash County,35.969,-77.804
05706,Mooresville,Iredell County,35.585,-80.810
09334,Wilson,Wilson County,35.721,-77.916
03874,Hickory,Burke County / Caldwell County / Catawba County,35.740,-81.322
03986,Holly Springs,Wake County,35.651,-78.834
07544,Salisbury,Rowan County,35.671,-80.474
05658,Monroe,Union County,34.985,-80.550
03388,Goldsboro,Wayne County,35.385,-77.993
03243,Garner,Wake County,35.711,-78.614
01948,Cornelius,Mecklenburg County,35.487,-80.860
05747,Morrisville,Durham County / Wake County,35.836,-78.839
07615,Sanford,Lee County,35.480,-79.180
05310,Matthews,Mecklenburg County,35.117,-80.724
08169,Statesville,Iredell County,35.783,-80.887
01709,Clayton,Johnston County / Wake County,35.652,-78.449
08496,Thomasville,Davidson County / Randolph County,35.882,-80.080
05609,Mint Hill,Mecklenburg County / Union County,35.178,-80.656
04783,Leland,Brunswick County,34.256,-78.045
07791,Shelby,Cleveland County,35.292,-81.536
09047,Waxhaw,Union County,34.925,-80.743
01729,Clemmons,Forsyth County,36.022,-80.382
04484,Kinston,Lenoir County,35.263,-77.582
04826,Lexington,Davidson County,35.824,-80.253
03723,Harrisburg,Cabarrus County,35.324,-80.656
05073,Lumberton,Robeson County,34.618,-79.009
00942,Boone,Watauga County,36.217,-81.675
06734,Pinehurst,Moore County,35.195,-79.469
05787,Mount Holly,Gaston County,35.298,-81.016
05729,Morganton,Burke County,35.745,-81.685
03438,Graham,Alamance County,36.069,-79.401
03769,Havelock,Craven County,34.879,-76.901
05858,Murraysville,New Hanover County,34.296,-77.847
02604,Eden,Rockingham County,36.488,-79.767
00664,Belmont,Gaston County,35.243,-81.037
02214,Davidson,Iredell County / Mecklenburg County,35.481,-80.821
03835,Hendersonville,Henderson County,35.319,-82.461
03834,Henderson,Vance County,36.330,-78.399
07151,Reidsville,Rockingham County,36.355,-79.664
04825,Lewisville,Forsyth County,36.097,-80.419
09068,Weddington,Mecklenburg County / Union County,35.022,-80.735
06068,Newton,Catawba County,35.670,-81.221
05876,Myrtle Grove,New Hanover County,34.135,-77.882
07924,Smithfield,Johnston County,35.508,-78.339
08057,Spring Lake,Cumberland County,35.168,-78.973
09095,Wendell,Wake County,35.781,-78.370
04467,Kings Mountain,Cleveland County / Gaston County,35.236,-81.350
04867,Lincolnton,Lincoln County,35.474,-81.255
02726,Elon,Alamance County,36.103,-79.507
08295,Summerfield,Guilford County,36.209,-79.905
06740,Pineville,Mecklenburg County,35.083,-80.892
09369,Winterville,Pitt County,35.529,-77.401
08421,Tarboro,Edgecombe County,35.897,-77.536
05774,Mount Airy,Surry County,36.499,-80.607
09053,Waynesville,Haywood County,35.489,-82.989
03931,Hillsborough,Orange County,36.075,-79.100
09014,Washington,Beaufort County,35.547,-77.052
08129,St. Stephens,Catawba County,35.765,-81.273
00008,Aberdeen,Moore County,35.132,-79.429
07332,Rockingham,Richmond County,34.939,-79.774
03304,Gibsonville,Alamance County / Guilford County,36.102,-79.542
09105,Wesley Chapel,Union County,35.007,-80.675
06220,Oak Island,Brunswick County,33.917,-78.161
06437,Oxford,Granville County,36.311,-78.591
06265,Ogden,New Hanover County,34.272,-77.819
01250,Butner,Granville County,36.132,-78.757
01897,Conover,Catawba County,35.707,-81.219
02493,Dunn,Harnett County,35.306,-78.609
01741,Clinton,Sampson County,34.998,-78.323
