phoneme,name,county,latitude,longitude
1673,Fargo,Cass County,46.877,-96.790
0444,Bismarck,Burleigh County,46.808,-100.784
3266,Minot,Ward County,48.233,-101.296
5407,Williston,Williams County,48.147,-103.618
1336,Dickinson,Stark County,46.879,-102.790
3010,Mandan,Morton County,46.827,-100.890
2470,Jamestown,Stutsman County,46.911,-98.708
5176,Wahpeton,Richland County,46.265,-96.606
5090,Valley City,Barnes County,46.923,-98.003
2822,Lincoln,Burleigh County,46.762,-100.700
1987,Grafton,Walsh County,48.412,-97.411
2350,Horace,Cass County,46.759,-96.904
0414,Beulah,Mercer County,47.263,-101.778
3507,New Town,Mountrail County,47.981,-102.490
4339,Rugby,Pierce County,48.369,-99.996
4731,Stanley,Mountrail County,48.317,-102.390
2211,Hazen,Mercer County,47.294,-101.623
2844,Lisbon,Ransom County,46.442,-97.681
3616,Oakes,Dickey County,46.139,-98.090
3108,Mayville,Traill County,47.498,-97.325
2287,Hillsboro,Traill County,47.404,-97.062
2178,Harvey,Wells County,47.770,-99.935
1871,Garrison,McLean County,47.652,-101.416
5223,Washburn,McLean County,47.289,-101.029
4285,Rolla,Rolette County,48.858,-99.618
4934,Thompson,Grand Forks County,47.774,-97.110
1187,Crosby,Divide County,48.914,-103.295
2840,Linton,Emmons County,46.267,-100.233
3503,New Salem,Morton County,46.845,-101.411
0310,Beach,Golden Valley County,46.918,-104.004
3589,Northwood,Grand Forks County,47.734,-97.567
1104,Cooperstown,Griggs County,47.444,-98.124
5188,Walhalla,Pembina County,48.923,-97.918
3799,Parshall,Mountrail County,47.953,-102.135
2179,Harwood,Cass County,46.979,-96.881
2220,Hebron,Morton County,46.901,-102.045
5058,Underwood,McLean County,47.456,-101.137
2029,Green Acres,Rolette County,48.838,-99.690
3429,Napoleon,Logan County,46.508,-99.771
1383,Drayton,Pembina County,48.571,-97.178
5423,Wilton,Burleigh County,47.158,-100.784
2186,Hatton,Traill County,47.640,-97.453
4123,Ray,Williams County,48.344,-103.165
2711,Lakota,Nelson County,48.043,-98.336
4750,Steele,Kidder County,46.855,-99.916
3249,Milnor,Sargent County,46.259,-97.456
3267,Minto,Walsh County,48.292,-97.371
0188,Ashley,McIntosh County,46.034,-99.371
4004,Portland,Traill County,47.498,-97.370
0860,Center,Oliver County,47.116,-101.300
1522,Elgin,Grant County,46.404,-101.846
5000,Trenton,Williams County,48.071,-103.837
4988,Towner,McHenry County,48.346,-100.405
1937,Glenburn,Renville County,48.513,-101.221
3146,McVille,Nelson County,47.764,-98.177
4023,Powers Lake,Burke County,48.563,-102.648
3030,Manvel,Grand Forks County,48.078,-97.176
3740,Oxbow,Cass County,46.673,-96.810
4790,Strasburg,Emmons County,46.134,-100.162
4732,Stanton,Mercer County,47.321,-101.382
0704,Buxton,Traill County,47.602,-97.097
3098,Max,McLean County,47.821,-101.299
4699,St. John,Rolette County,48.944,-99.711
4721,St. Thomas,Pembina County,48.619,-97.446
4460,Sawyer,Ward County,48.090,-101.054
0057,Alexander,McKenzie County,47.843,-103.643
1380,Drake,McHenry County,47.924,-100.372
4178,Reynolds,Grand Forks County,47.669,-97.106
2345,Hope,Steele County,47.322,-97.722
3159,Medina,Stutsman County,46.894,-99.300
1924,Gladstone,Stark County,46.861,-102.568
3202,Michigan City,Nelson County,48.025,-98.117
4986,Tower City,Barnes County,46.926,-97.676
0797,Carson,Grant County,46.418,-101.565
2148,Harmon,Morton County,46.952,-100.953
1259,Davenport,Cass County,46.714,-97.070
2790,Leonard,Cass County,46.652,-97.246
0127,Aneta,Nelson County,47.679,-97.988
4899,Taylor,Stark County,46.901,-102.425
2209,Hazelton,Emmons County,46.485,-100.280
4235,Riverdale,McLean County,47.498,-101.371
4894,Tappen,Kidder County,46.875,-99.636
3991,Porcupine,Sioux County,46.219,-101.099
1488,Edinburg,Walsh County,48.497,-97.862
1831,Frontier,Cass County,46.801,-96.833
0147,Apple Valley,Burleigh County,46.822,-100.598
3409,Munich,Cavalier County,48.669,-98.833
