phoneme,name,county,latitude,longitude
3668,Omaha,Douglas County,41.259,-95.938
2822,Lincoln,Lancaster County,40.800,-96.667
0358,Bellevue,Sarpy County,41.137,-95.891
1991,Grand Island,Hall County,40.925,-98.342
2541,Kearney,Buffalo County,40.699,-99.081
1817,Fremont,Dodge County,41.433,-96.498
2181,Hastings,Adams County,40.586,-98.388
3552,Norfolk,Madison County,42.028,-97.417
0321,Beatrice,Gage County,40.268,-96.747
0880,Chalco,Sarpy County,41.184,-96.150
2804,Lexington,Dawson County,40.781,-99.742
5523,York,York County,40.868,-97.592
0081,Alliance,Box Butte County,42.102,-102.872
0464,Blair,Washington County,41.544,-96.125
4515,Seward,Seward County,40.907,-97.099
3117,McCook,Red Willow County,40.202,-100.626
1177,Crete,Saline County,40.628,-96.961
4469,Schuyler,Colfax County,41.447,-97.059
4100,Ralston,Douglas County,41.205,-96.043
4559,Sidney,Cheyenne County,41.143,-102.978
5246,Wayne,Wayne County,42.231,-97.018
2063,Gretna,Sarpy County,41.141,-96.240
5175,Wahoo,Saunders County,41.211,-96.620
0221,Aurora,Hamilton County,40.867,-98.004
5243,Waverly,Lancaster County,40.917,-96.528
1669,Falls City,Richardson County,40.061,-95.602
1644,Fairbury,Jefferson County,40.137,-97.181
0213,Auburn,Nemaha County,40.393,-95.839
5305,West Point,Cuming County,41.842,-96.709
1981,Gothenburg,Dawson County,40.929,-100.161
3255,Minden,Kearney County,40.499,-98.948
5088,Valley,Douglas County,41.313,-96.346
0870,Central City,Merrick County,41.116,-98.002
2255,Hickman,Lancaster County,40.620,-96.629
5085,Valentine,Cherry County,42.873,-100.551
4715,St. Paul,Howard County,41.215,-98.458
2587,Kimball,Kimball County,41.236,-103.663
2984,Madison,Madison County,41.828,-97.455
1888,Geneva,Fillmore County,40.527,-97.596
3223,Milford,Seward County,40.774,-97.051
1236,Dakota City,Dakota County,42.416,-96.418
2405,Imperial,Chase County,40.517,-101.643
0385,Bennington,Douglas County,41.365,-96.158
5386,Wilber,Saline County,40.481,-96.961
4873,Syracuse,Otoe County,40.657,-96.186
1904,Gibbon,Buffalo County,40.748,-98.845
3881,Pierce,Pierce County,42.199,-97.527
5475,Woodland Park,Stanton County,42.054,-97.345
4843,Superior,Nuckolls County,40.021,-98.070
4905,Tecumseh,Johnson County,40.367,-96.196
0049,Albion,Boone County,41.691,-98.004
