phoneme,name,county,latitude,longitude
3013,Manchester,Hillsborough County,42.996,-71.455
3437,Nashua,Hillsborough County,42.765,-71.468
1090,Concord,Merrimack County,43.208,-71.538
1236,Derry,Rockingham County,42.888,-71.282
1377,Dover,Strafford County,43.198,-70.874
4256,Rochester,Strafford County,43.305,-70.976
4382,Salem,Rockingham County,42.788,-71.222
2884,Londonderry,Rockingham County,42.880,-71.392
0334,Bedford,Hillsborough County,42.936,-71.537
2548,Keene,Cheshire County,42.934,-72.278
4011,Portsmouth,Rockingham County,43.072,-70.763
2667,Laconia,Belknap County,43.528,-71.470
5432,Windham,Rockingham County,42.811,-71.303
1425,Durham,Strafford County,43.117,-70.919
2772,Lebanon,Grafton County,43.642,-72.252
3834,Pelham,Hillsborough County,42.731,-71.337
0970,Claremont,Sullivan County,43.377,-72.347
1642,Exeter,Rockingham County,42.981,-70.948
2130,Hampton,Rockingham County,42.938,-70.839
0397,Berlin,Coos County,44.469,-71.185
0278,Barrington,Strafford County,43.216,-71.039
5257,Weare,Hillsborough County,43.078,-71.704
2129,Hampstead,Rockingham County,42.881,-71.172
1804,Franklin,Merrimack County,43.444,-71.647
2138,Hanover,Grafton County,43.702,-72.290
2850,Litchfield,Hillsborough County,42.846,-71.468
2322,Hollis,Hillsborough County,42.750,-71.585
3227,Milford,Hillsborough County,42.835,-71.649
4492,Seabrook,Rockingham County,42.883,-70.861
0537,Bow,Merrimack County,43.133,-71.537
1919,Gilford,Belknap County,43.520,-71.376
3839,Pembroke,Merrimack County,43.168,-71.439
0371,Belmont,Belknap County,43.474,-71.482
0201,Atkinson,Rockingham County,42.839,-71.167
1603,Epping,Rockingham County,43.051,-71.088
1683,Farmington,Strafford County,43.367,-71.063
2377,Hudson,Hillsborough County,42.765,-71.440
3189,Meredith,Belknap County,43.631,-71.499
3969,Plymouth,Grafton County,43.744,-71.727
3863,Peterborough,Hillsborough County,42.890,-71.941
3533,Newport,Sullivan County,43.371,-72.203
2605,Kingston,Rockingham County,42.914,-71.074
3470,New Boston,Hillsborough County,42.981,-71.678
2857,Littleton,Grafton County,44.343,-71.795
2353,Hopkinton,Merrimack County,43.202,-71.697
0213,Auburn,Rockingham County,42.997,-71.366
2291,Hillsborough,Hillsborough County,43.147,-71.951
0620,Brookline,Hillsborough County,42.749,-71.676
4364,Rye,Rockingham County,43.033,-70.719
5186,Wakefield,Carroll County,43.593,-71.008
3602,Nottingham,Rockingham County,43.130,-71.132
0932,Chester,Rockingham County,42.985,-71.255
3587,Northfield,Merrimack County,43.402,-71.555
1604,Epsom,Merrimack County,43.205,-71.349
1292,Deerfield,Rockingham County,43.136,-71.255
3535,Newton,Rockingham County,42.870,-71.046
1821,Fremont,Rockingham County,43.000,-71.119
3595,Northwood,Rockingham County,43.212,-71.223
2195,Haverhill,Grafton County,44.076,-72.005
2774,Lee,Strafford County,43.119,-71.007
0578,Brentwood,Rockingham County,42.984,-71.054
3572,North Hampton,Rockingham County,42.980,-70.829
