phoneme,name,county,latitude,longitude
3654,Newark,Essex County,40.736,-74.172
3937,Paterson,Passaic County,40.917,-74.172
1643,Elizabeth,Union County,40.664,-74.211
1603,Edison,Middlesex County,40.504,-74.349
2283,Hamilton,Mercer County,40.206,-74.675
5124,Trenton,Mercer County,40.217,-74.743
1083,Clifton,Passaic County,40.858,-74.164
0985,Cherry Hill,Camden County,39.905,-74.997
0778,Camden,Camden County,39.926,-75.120
3936,Passaic,Passaic County,40.857,-74.128
1938,Franklin,Somerset County,40.477,-74.550
1584,Middletown,Monmouth County,40.405,-74.071
2869,Lakewood,Ocean County,40.098,-74.218
2102,Gloucester,Camden County,39.792,-75.036
5183,Union City,Hudson County,40.780,-74.024
5267,Vineland,Cumberland County,39.486,-75.026
4055,Piscataway,Middlesex County,40.546,-74.461
2613,Irvington,Essex County,40.724,-74.233
2965,Union,Union County,40.695,-74.269
1589,Jackson,Ocean County,40.091,-74.361
2478,Hoboken,Hudson County,40.744,-74.032
4069,Plainfield,Union County,40.634,-74.407
4684,Wayne,Passaic County,40.946,-74.245
1581,Howell,Monmouth County,40.178,-74.206
0489,Bloomfield,Essex County,40.809,-74.187
2966,Washington,Gloucester County,39.748,-75.069
2964,Monroe,Middlesex County,40.319,-74.429
5422,West Orange,Essex County,40.786,-74.265
1614,Egg Harbor,Atlantic County,39.380,-74.612
4629,Seabrook,Cumberland County,39.502,-75.219
0605,Bridgewater,Somerset County,40.592,-74.604
3156,Manchester,Ocean County,39.962,-74.375
2261,Hackensack,Bergen County,40.886,-74.043
0403,Berkeley,Ocean County,39.913,-74.193
2987,Linden,Union County,40.622,-74.245
2464,Hillsborough,Somerset County,40.498,-74.671
3440,Montclair,Essex County,40.825,-74.211
1583,Manalapan,Monmouth County,40.282,-74.347
2705,Kearny,Hudson County,40.768,-74.145
1372,Winslow,Camden County,39.702,-74.908
1908,Fort Lee,Bergen County,40.851,-73.970
0210,Atlantic City,Atlantic County,39.364,-74.423
1989,Galloway,Atlantic County,39.491,-74.474
2964,Monroe,Gloucester County,39.660,-74.969
0366,Belleville,Essex County,40.793,-74.161
1552,Ewing,Mercer County,40.270,-74.800
0741,Lawrence,Mercer County,40.296,-74.720
0798,Garfield,Bergen County,40.881,-74.113
3038,Long Branch,Monmouth County,40.304,-73.992
1370,Voorhees,Camden County,39.849,-74.953
3012,Livingston,Essex County,40.786,-74.329
1626,Elberon,Monmouth County,40.269,-73.992
4186,Princeton,Mercer County,40.349,-74.659
5436,Westfield,Union County,40.659,-74.347
1551,East Windsor,Mercer County,40.259,-74.534
1590,Stafford,Ocean County,39.706,-74.264
5428,West Windsor,Mercer County,40.290,-74.628
2822,Lacey,Ocean County,39.855,-74.267
1705,Englewood,Bergen County,40.893,-73.973
3518,Mount Olive,Morris County,40.866,-74.742
1586,Neptune,Monmouth County,40.214,-74.054
2283,Hamilton,Atlantic County,39.482,-74.737
1757,Ocean,Monmouth County,40.254,-74.032
3389,Millville,Cumberland County,39.402,-75.039
3965,Pemberton,Burlington County,39.959,-74.605
0602,Bridgeton,Cumberland County,39.427,-75.234
4250,Randolph,Morris County,40.842,-74.579
1587,Wall,Monmouth County,40.166,-74.098
4349,Ridgewood,Bergen County,40.979,-74.117
3025,Lodi,Bergen County,40.882,-74.083
3183,Maplewood,Essex County,40.734,-74.271
0951,Somerset,Somerset County,40.498,-74.488
1591,West Milford,Passaic County,41.105,-74.391
2192,Medford,Burlington County,39.864,-74.825
1547,Raritan,Hunterdon County,40.547,-74.896
3448,Montgomery,Somerset County,40.426,-74.678
2360,Morris,Morris County,40.796,-74.495
1588,Roxbury,Morris County,40.888,-74.651
2170,Summit,Union County,40.741,-74.360
5245,Vernon,Sussex County,41.195,-74.489
4443,Roselle,Union County,40.664,-74.263
3454,Montville,Morris County,40.913,-74.359
3112,Lyndhurst,Bergen County,40.797,-74.113
2466,Hillside,Union County,40.696,-74.229
3373,Millburn,Essex County,40.742,-74.321
5574,Woodbridge,Middlesex County,40.558,-74.285
1678,Elmwood Park,Bergen County,40.904,-74.118
4090,Pleasantville,Atlantic County,39.390,-74.524
0317,Bayville,Ocean County,39.909,-74.155
2193,Jefferson,Morris County,41.001,-74.551
3488,Morristown,Morris County,40.797,-74.482
1637,Sparta,Sussex County,41.052,-74.628
2376,Hawthorne,Passaic County,40.949,-74.154
0004,Aberdeen,Monmouth County,40.430,-74.225
