phoneme,name,county,latitude,longitude
0619,Brooklyn,Kings County,40.625,-73.952
3012,Manhattan,New York County,40.728,-73.994
2228,Hempstead,Nassau County,40.634,-73.609
0617,Brookhaven,Suffolk County,40.857,-72.960
0665,Buffalo,Erie County,42.886,-78.878
4250,Rochester,Monroe County,43.155,-77.616
2387,Huntington,Suffolk County,40.884,-73.377
4872,Syracuse,Onondaga County,43.048,-76.147
0114,Amherst,Erie County,43.012,-78.757
0044,Albany,Albany County,42.653,-73.756
2026,Greece,Monroe County,43.250,-77.701
3386,Mount Vernon,Westchester County,40.913,-73.837
4644,Southampton,Suffolk County,40.882,-72.462
0576,Brentwood,Suffolk County,40.781,-73.246
5078,Utica,Oneida County,43.101,-75.233
0987,Clay,Onondaga County,43.179,-76.192
5356,White Plains,Westchester County,41.034,-73.763
5058,Union,Broome County,42.126,-76.032
2798,Levittown,Nassau County,40.726,-73.514
5012,Troy,Rensselaer County,42.728,-73.692
4358,Rye,Westchester County,41.006,-73.688
3533,Niagara Falls,Niagara County,43.094,-79.057
2234,Henrietta,Monroe County,43.054,-77.640
4017,Poughkeepsie,Dutchess County,41.667,-73.911
3382,Mount Pleasant,Westchester County,41.112,-73.816
1815,Freeport,Nassau County,40.658,-73.583
1109,Coram,Suffolk County,40.869,-73.001
3836,Penfield,Monroe County,43.151,-77.444
0595,Brighton,Monroe County,43.148,-77.551
1559,Elmont,Nassau County,40.701,-73.713
5525,Yorktown,Westchester County,41.270,-73.818
0412,Bethlehem,Albany County,42.585,-73.827
2885,Long Beach,Nassau County,40.588,-73.658
3472,New City,Rockland County,41.148,-73.989
0249,Baldwin,Nassau County,40.656,-73.609
0857,Salina,Onondaga County,43.105,-76.171
4672,Spring Valley,Rockland County,41.113,-74.044
0969,Clarence,Erie County,43.025,-78.646
5065,Uniondale,Nassau County,40.700,-73.593
3516,Newburgh,Orange County,41.557,-74.057
4182,Rome,Oneida County,43.213,-75.456
2455,Ithaca,Tompkins County,42.441,-76.497
0299,Bay Shore,Suffolk County,40.725,-73.245
0959,Cicero,Onondaga County,43.172,-76.056
3630,Oceanside,Nassau County,40.639,-73.640
5195,Wallkill,Orange County,41.489,-74.400
4318,Rotterdam,Schenectady County,42.812,-74.012
3211,Middletown,Orange County,41.446,-74.423
3930,Pittsford,Monroe County,43.075,-77.528
1946,Glenville,Schenectady County,42.888,-73.989
0939,Chili,Monroe County,43.086,-77.745
2159,Harrison,Westchester County,40.969,-73.713
1449,East Hampton,Suffolk County,41.092,-72.106
