phoneme,name,county,latitude,longitude
1161,Columbus,Delaware County,39.986,-82.986
1078,Cleveland,Cuyahoga County,41.499,-81.695
1026,Cincinnati,Hamilton County,39.103,-84.515
5094,Toledo,Lucas County,41.664,-83.555
0039,Akron,Summit County,41.081,-81.519
1357,Dayton,Greene County,39.785,-84.200
3927,Parma,Cuyahoga County,41.405,-81.723
0813,Canton,Stark County,40.799,-81.378
3052,Lorain,Lorain County,41.453,-82.182
2283,Hamilton,Butler County,39.400,-84.561
5635,Youngstown,Mahoning County,41.099,-80.646
1066,Springfield,Clark County,39.924,-83.809
2743,Kettering,Greene County,39.696,-84.150
1687,Elyria,Lorain County,41.368,-82.108
1584,Middletown,Butler County,39.503,-84.365
3654,Newark,Licking County,40.058,-82.401
2869,Lakewood,Cuyahoga County,41.482,-81.798
1493,Dublin,Delaware County,40.113,-83.146
1735,Euclid,Cuyahoga County,41.593,-81.527
3170,Mansfield,Richland County,40.758,-82.515
3327,Mentor,Lake County,41.666,-81.340
0644,Fairfield,Butler County,39.331,-84.543
1384,Delaware,Delaware County,40.299,-83.068
2238,Grove City,Franklin County,39.881,-83.093
2880,Lancaster,Fairfield County,39.714,-82.599
1838,Findlay,Hancock County,41.044,-83.650
5435,Westerville,Delaware County,40.123,-82.913
2460,Hilliard,Franklin County,40.033,-83.158
2974,Lima,Allen County,40.743,-84.105
0661,Brunswick,Medina County,41.238,-81.842
3227,Mason,Warren County,39.360,-84.310
4919,Stow,Summit County,41.160,-81.440
5440,Westlake,Cuyahoga County,41.455,-81.918
3232,Massillon,Stark County,40.797,-81.522
0554,Bowling Green,Wood County,41.375,-83.651
2727,Kent,Portage County,41.154,-81.358
0726,Green,Summit County,40.946,-81.483
0731,Troy,Miami County,40.039,-84.203
0785,Marysville,Union County,40.236,-83.367
0236,Avon,Lorain County,41.452,-82.035
3983,Perrysburg,Wood County,41.557,-83.627
0268,Barberton,Summit County,41.013,-81.605
4566,Sandusky,Erie County,41.449,-82.708
0929,Centerville,Greene County,39.634,-84.146
5641,Zanesville,Muskingum County,39.940,-82.013
4376,Riverside,Montgomery County,39.780,-84.124
4752,Solon,Cuyahoga County,41.390,-81.441
2165,Hudson,Summit County,41.240,-81.441
1005,Chillicothe,Ross County,39.333,-82.982
0083,Alliance,Mahoning County,40.911,-81.120
1546,Lebanon,Warren County,39.435,-84.203
4054,Piqua,Miami County,40.145,-84.242
4699,Sidney,Shelby County,40.284,-84.156
5478,Whitehall,Franklin County,39.967,-82.885
1896,Forest Park,Hamilton County,39.290,-84.504
3826,Oregon,Lucas County,41.644,-83.487
0192,Ashland,Ashland County,40.869,-82.318
4802,Springboro,Montgomery County,39.562,-84.234
5471,White Oak,Hamilton County,39.213,-84.599
3734,Norwood,Hamilton County,39.156,-84.460
