phoneme,name,county,latitude,longitude
3555,Norman,Cleveland County,35.223,-97.439
1490,Edmond,Oklahoma County,35.653,-97.478
2760,Lawton,Comanche County,34.609,-98.390
3320,Moore,Cleveland County,35.340,-97.487
4765,Stillwater,Payne County,36.116,-97.058
4532,Shawnee,Pottawatomie County,35.327,-96.925
0446,Bixby,Tulsa County,35.946,-95.878
0163,Ardmore,Carter County,34.174,-97.144
5529,Yukon,Canadian County,35.507,-97.763
1406,Duncan,Stephens County,34.502,-97.958
1292,Del City,Oklahoma County,35.442,-97.441
3417,Mustang,Canadian County,35.384,-97.724
0410,Bethany,Oklahoma County,35.519,-97.632
4424,Sand Springs,Osage County,36.136,-96.132
1420,Durant,Bryan County,33.994,-96.371
0101,Altus,Jackson County,34.638,-99.334
0012,Ada,Pontotoc County,34.775,-96.678
3199,Miami,Ottawa County,36.875,-94.877
0949,Choctaw,Oklahoma County,35.498,-97.269
3519,Newcastle,McClain County,35.247,-97.600
5488,Woodward,Woodward County,36.434,-99.390
5252,Weatherford,Custer County,35.526,-98.708
1530,Elk City,Beckham County,35.412,-99.404
2090,Guthrie,Logan County,35.879,-97.425
0469,Blanchard,Grady County,35.152,-97.665
1010,Clinton,Custer County,35.507,-98.971
1065,Collinsville,Rogers County,36.374,-95.860
1222,Cushing,Payne County,35.985,-96.767
3879,Piedmont,Canadian County,35.675,-97.754
5172,Wagoner,Wagoner County,35.960,-95.369
4983,Tuttle,Grady County,35.291,-97.812
2622,Noble,Cleveland County,35.139,-97.395
4509,Seminole,Seminole County,35.225,-96.671
2071,Grove,Delaware County,36.594,-94.769
4063,Purcell,Cleveland County,35.024,-97.374
2154,Harrah,Oklahoma County,35.490,-97.164
4904,Tecumseh,Pottawatomie County,35.258,-96.937
0461,Blackwell,Kay County,36.804,-97.283
0120,Anadarko,Caddo County,35.073,-98.244
2377,Hugo,Choctaw County,34.011,-95.510
0103,Alva,Woods County,36.805,-98.666
4816,Sulphur,Murray County,34.508,-96.968
3848,Perry,Noble County,36.289,-97.288
3059,Marlow,Stephens County,34.631,-97.957
4469,Sayre,Beckham County,35.291,-99.640
0602,Bristow,Creek County,35.831,-96.391
3113,McLoud,Pottawatomie County,35.436,-97.091
4657,Spencer,Oklahoma County,35.523,-97.377
1522,Elgin,Comanche County,34.780,-98.292
4766,Stilwell,Adair County,35.815,-94.629
1807,Frederick,Tillman County,34.392,-99.018
4283,Roland,Sequoyah County,35.421,-94.515
1326,Dewey,Washington County,36.796,-95.936
2301,Hobart,Kiowa County,35.029,-99.093
3847,Perkins,Payne County,35.974,-97.034
1005,Cleveland,Pawnee County,36.310,-96.464
0207,Atoka,Atoka County,34.386,-96.128
2297,Hinton,Caddo County,35.471,-98.356
2892,Longtown,Pittsburg County,35.245,-95.513
0709,Cache,Comanche County,34.630,-98.629
4961,Tishomingo,Johnston County,34.236,-96.679
0719,Calera,Bryan County,33.935,-96.429
2510,Jones,Oklahoma County,35.566,-97.287
0888,Chandler,Lincoln County,35.702,-96.881
2834,Lindsay,Garvin County,34.835,-97.603
5028,Turley,Tulsa County,36.242,-95.976
3050,Marietta,Love County,33.937,-97.117
1263,Davis,Garvin County,34.429,-97.174
1622,Eufaula,McIntosh County,35.287,-95.582
1657,Fairview,Major County,36.269,-98.480
3011,Mangum,Greer County,34.872,-99.504
5202,Walters,Cotton County,34.360,-98.308
2476,Jay,Delaware County,36.421,-94.797
4027,Prague,Lincoln County,35.495,-96.695
5386,Wilburton,Latimer County,34.919,-95.309
3619,Oakhurst,Creek County,36.081,-96.062
1083,Commerce,Ottawa County,36.933,-94.873
3526,Newkirk,Kay County,36.882,-97.053
2804,Lexington,Cleveland County,35.015,-97.336
0912,Chelsea,Rogers County,36.536,-95.432
5510,Wynnewood,Garvin County,34.643,-97.164
3814,Pawnee,Pawnee County,36.338,-96.804
5060,Union City,Canadian County,35.392,-97.941
2006,Granite,Greer County,34.962,-99.381
2318,Hollis,Harmon County,34.688,-99.912
2728,Langston,Logan County,35.945,-97.255
2343,Hooker,Texas County,36.860,-101.213
2528,Justice,Rogers County,36.293,-95.567
2180,Haskell,Muskogee County,35.820,-95.674
1025,Coalgate,Coal County,34.538,-96.219
3595,Norwood,Cherokee County,35.845,-95.151
5211,Warner,Muskogee County,35.494,-95.306
1106,Copeland,Delaware County,36.656,-94.828
0919,Cherokee,Alfalfa County,36.754,-98.357
2951,Luther,Oklahoma County,35.662,-97.196
2746,Latta,Pontotoc County,34.747,-96.706
0784,Carnegie,Caddo County,35.104,-98.604
2601,Kingston,Marshall County,33.999,-96.720
5420,Wilson,Carter County,34.162,-97.426
2225,Helena,Alfalfa County,36.546,-98.270
4790,Stratford,Garvin County,34.797,-96.959
1080,Comanche,Stephens County,34.369,-97.964
2869,Locust Grove,Mayes County,36.200,-95.168
5330,Westville,Adair County,35.993,-94.568
1337,Dickson,Carter County,34.187,-96.984
1167,Crescent,Logan County,35.953,-97.595
3348,Morris,Okmulgee County,35.608,-95.860
3769,Panama,Le Flore County,35.167,-94.672
4608,Snyder,Kiowa County,34.659,-98.952
0326,Beaver,Beaver County,36.816,-100.520
1727,Fletcher,Comanche County,34.823,-98.244
2002,Grandview,Cherokee County,35.965,-94.999
0871,Central High,Stephens County,34.623,-98.090
1900,Geronimo,Comanche County,34.481,-98.383
3322,Mooreland,Woodward County,36.439,-99.205
0510,Boise City,Cimarron County,36.729,-102.513
4930,Thomas,Custer County,35.744,-98.748
4659,Sperry,Osage County,36.298,-95.996
1646,Fairfax,Osage County,36.574,-96.704
1650,Fairland,Ottawa County,36.751,-94.847
0593,Briggs,Cherokee County,35.927,-94.875
5512,Yale,Payne County,36.114,-96.699
3106,Maysville,Garvin County,34.865,-97.374
0857,Salina,Mayes County,36.293,-95.153
2580,Keys,Cherokee County,35.798,-94.968
3601,Okeene,Blaine County,36.116,-98.317
1045,Colbert,Bryan County,33.853,-96.502
1758,Forest Park,Oklahoma County,35.504,-97.446
0710,Caddo,Bryan County,34.127,-96.263
3162,Meeker,Lincoln County,35.503,-96.903
0665,Buffalo,Harper County,36.836,-99.630
2567,Kenwood,Delaware County,36.301,-94.998
3365,Mounds,Creek County,35.876,-96.066
1976,Gore,Sequoyah County,35.529,-95.117
1334,Dibble,McClain County,35.033,-97.630
4959,Tipton,Tillman County,34.503,-99.141
0924,Cherry Tree,Adair County,35.741,-94.643
3157,Medford,Grant County,36.807,-97.734
4217,Ringling,Jefferson County,34.178,-97.593
3644,Oilton,Creek County,36.085,-96.584
5383,Wickliffe,Mayes County,36.312,-95.107
3096,Maud,Pottawatomie County,35.133,-96.778
3620,Oakland,Marshall County,34.100,-96.794
4082,Quinton,Pittsburg County,35.123,-95.371
4837,Sunray,Stephens County,34.413,-97.965
4906,Temple,Cotton County,34.272,-98.236
4920,Texhoma,Texas County,36.505,-101.783
1259,Davenport,Lincoln County,35.705,-96.765
0071,Allen,Hughes County,34.878,-96.413
0934,Cheyenne,Roger Mills County,35.614,-99.671
3022,Mannsville,Johnston County,34.186,-96.881
3397,Mountain View,Kiowa County,35.098,-98.746
3349,Morrison,Noble County,36.297,-97.008
0013,Adair,Mayes County,36.437,-95.271
0025,Afton,Ottawa County,36.694,-94.963
4255,Rock Island,Le Flore County,35.182,-94.474
0464,Blair,Jackson County,34.780,-99.335
0806,Cartwright,Bryan County,33.853,-96.562
2532,Kansas,Delaware County,36.205,-94.798
3877,Pickett,Pontotoc County,34.782,-96.775
1859,Garber,Garfield County,36.437,-97.586
2104,Haileyville,Pittsburg County,34.855,-95.582
5046,Tyrone,Texas County,36.954,-101.065
4676,Springer,Carter County,34.315,-97.143
5223,Washington,McClain County,35.059,-97.484
5272,Wellston,Lincoln County,35.694,-97.063
4356,Ryan,Jefferson County,34.020,-97.958
0575,Brent,Sequoyah County,35.368,-94.794
0779,Carlisle,Sequoyah County,35.501,-95.026
4755,Sterling,Comanche County,34.750,-98.172
5245,Wayne,McClain County,34.918,-97.314
1647,Fairfield,Adair County,35.847,-94.612
2362,Howe,Le Flore County,34.951,-94.637
5263,Welch,Craig County,36.874,-95.096
4463,Savanna,Pittsburg County,34.829,-95.844
2820,Limestone,Rogers County,36.316,-95.749
5501,Wright City,McCurtain County,34.060,-95.003
2727,Langley,Craig County,36.480,-95.054
2608,Kiowa,Pittsburg County,34.721,-95.899
0531,Boswell,Choctaw County,34.027,-95.869
3774,Paoli,Garvin County,34.827,-97.259
4002,Porter,Wagoner County,35.871,-95.522
0992,Clayton,Pushmataha County,34.590,-95.353
0786,Carney,Lincoln County,35.808,-97.013
5424,Winchester,Okmulgee County,35.786,-95.992
4104,Ramona,Washington County,36.530,-95.924
4522,Shady Grove,McIntosh County,35.493,-95.416
4141,Red Oak,Latimer County,34.951,-95.080
1938,Glencoe,Payne County,36.229,-96.926
2577,Ketchum,Craig County,36.518,-95.037
0175,Arnett,Ellis County,36.135,-99.775
5507,Wyandotte,Ottawa County,36.793,-94.725
4522,Shady Grove,Cherokee County,35.944,-95.095
4580,Simms,Muskogee County,35.384,-95.199
3666,Olustee,Jackson County,34.549,-99.422
1149,Covington,Garfield County,36.308,-97.586
2499,Johnson,Pottawatomie County,35.406,-96.842
0727,Calumet,Canadian County,35.601,-98.119
0762,Canton,Blaine County,36.054,-98.588
0434,Billings,Noble County,36.529,-97.444
4796,Stringtown,Atoka County,34.467,-96.053
5329,Westport,Pawnee County,36.219,-96.325
1392,Drummond,Garfield County,36.300,-98.036
2569,Keota,Haskell County,35.256,-94.922
0399,Bernice,Delaware County,36.616,-94.918
0107,Amber,Grady County,35.160,-97.879
3747,Paden,Okfuskee County,35.508,-96.568
2931,Lowrey,Cherokee County,36.098,-94.922
0855,Cedar Valley,Logan County,35.864,-97.562
1317,Depew,Creek County,35.803,-96.506
1373,Dover,Kingfisher County,35.981,-97.911
4777,Stonewall,Pontotoc County,34.653,-96.526
0907,Chattanooga,Comanche County,34.424,-98.654
1439,Eagletown,McCurtain County,34.034,-94.574
4218,Ringwood,Major County,36.379,-98.245
5017,Tryon,Lincoln County,35.870,-96.964
0851,Cedar Lake,Canadian County,35.427,-98.189
5360,Whitefield,Haskell County,35.253,-95.237
0782,Carmen,Alfalfa County,36.579,-98.462
4420,Sand Hill,Muskogee County,35.634,-95.201
4223,Ripley,Payne County,36.018,-96.906
0586,Bridge Creek,Grady County,35.235,-97.737
4465,Sawyer,Choctaw County,34.014,-95.372
5116,Vera,Washington County,36.449,-95.881
2539,Katie,Garvin County,34.580,-97.352
0346,Bell,Adair County,35.718,-94.576
5040,Twin Oaks,Delaware County,36.205,-94.851
2849,Little Rock,Mayes County,36.222,-95.083
0737,Cameron,Le Flore County,35.134,-94.535
5024,Tupelo,Coal County,34.605,-96.424
0731,Calvin,Hughes County,34.968,-96.249
1673,Fargo,Ellis County,36.376,-99.624
0031,Agra,Lincoln County,35.895,-96.872
1519,Eldorado,Jackson County,34.472,-99.648
3396,Mountain Park,Kiowa County,34.697,-98.950
1630,Evening Shade,Sequoyah County,35.625,-94.929
2723,Lane,Atoka County,34.299,-95.988
2060,Gregory,Rogers County,36.171,-95.572
1193,Crowder,Pittsburg County,35.124,-95.670
3225,Mill Creek,Johnston County,34.404,-96.826
1169,Crescent Springs,Logan County,35.896,-97.603
2717,Lamont,Grant County,36.691,-97.556
3571,North Miami,Ottawa County,36.917,-94.880
2009,Grant,Choctaw County,33.943,-95.514
1055,Coleman,Johnston County,34.271,-96.419
4110,Randlett,Cotton County,34.177,-98.464
0385,Bennington,Bryan County,34.005,-96.038
2483,Jennings,Pawnee County,36.181,-96.570
2197,Haworth,McCurtain County,33.846,-94.653
4912,Terral,Jefferson County,33.897,-97.936
0757,Caney,Cherokee County,35.830,-94.840
4050,Proctor,Adair County,35.966,-94.777
2779,Lehigh,Coal County,34.469,-96.216
4100,Ralston,Pawnee County,36.504,-96.732
2580,Keyes,Cimarron County,36.810,-102.255
0886,Chance,Adair County,36.060,-94.655
1296,Delaware,Nowata County,36.779,-95.639
2790,Leonard,Tulsa County,35.920,-95.799
3616,Oaks,Cherokee County,36.170,-94.853
4422,Sand Point,Bryan County,33.965,-96.563
3219,Milburn,Johnston County,34.241,-96.549
4294,Roosevelt,Kiowa County,34.849,-99.022
4143,Red Rock,Noble County,36.459,-97.179
1262,Davidson,Tillman County,34.241,-99.076
1781,Foster,Garvin County,34.616,-97.489
1184,Cromwell,Seminole County,35.340,-96.457
1908,Gideon,Cherokee County,36.010,-95.033
2636,Kremlin,Garfield County,36.547,-97.831
1795,Francis,Pontotoc County,34.874,-96.596
