phoneme,name,county,latitude,longitude
4142,Portland,Clackamas County,45.537,-122.650
1141,Salem,Marion County,44.924,-123.023
1738,Eugene,Lane County,44.052,-123.087
2227,Gresham,Multnomah County,45.498,-122.431
2464,Hillsboro,Washington County,45.523,-122.990
0387,Bend,Deschutes County,44.058,-121.315
0340,Beaverton,Washington County,45.487,-122.804
2192,Medford,Jackson County,42.327,-122.876
1066,Springfield,Lane County,44.046,-123.022
1216,Corvallis,Benton County,44.565,-123.262
0045,Albany,Benton County,44.627,-123.097
0091,Aloha,Washington County,45.490,-122.872
2709,Keizer,Marion County,44.990,-123.026
4288,Redmond,Deschutes County,44.273,-121.174
3285,McMinnville,Yamhill County,45.210,-123.199
5535,Wilsonville,Clackamas County,45.311,-122.771
1891,Forest Grove,Washington County,45.520,-123.111
5575,Woodburn,Marion County,45.144,-122.855
2307,Happy Valley,Clackamas County,45.447,-122.530
3655,Newberg,Yamhill County,45.300,-122.973
2380,Hayesville,Marion County,44.981,-122.972
0192,Ashland,Jackson County,42.195,-122.709
3396,Milwaukie,Clackamas County,45.445,-122.621
0419,Bethany,Washington County,45.553,-122.837
4686,Sherwood,Washington County,45.357,-122.840
0098,Altamont,Klamath County,42.203,-121.726
0933,Central Point,Jackson County,42.376,-122.916
1546,Lebanon,Linn County,44.537,-122.907
0804,Canby,Clackamas County,45.263,-122.693
3744,Oak Grove,Clackamas County,45.417,-122.640
1324,Dallas,Polk County,44.919,-123.317
3969,Pendleton,Umatilla County,45.672,-118.789
1925,Four Corners,Marion County,44.929,-122.972
5135,Troutdale,Multnomah County,45.539,-122.387
1203,Cornelius,Washington County,45.520,-123.060
2808,La Grande,Union County,45.325,-118.088
4568,Sandy,Clackamas County,45.397,-122.261
1827,Gladstone,Clackamas County,45.381,-122.595
3747,Oak Hills,Washington County,45.541,-122.841
3813,Ontario,Malheur County,44.027,-116.963
3430,Monmouth,Polk County,44.848,-123.234
0725,Fairview,Multnomah County,45.538,-122.434
1219,Cottage Grove,Lane County,43.798,-123.060
4713,Silverton,Marion County,45.005,-122.783
1327,Damascus,Clackamas County,45.430,-122.446
3667,Newport,Lincoln County,44.637,-124.053
0199,Astoria,Clatsop County,46.188,-123.831
3701,North Bend,Coos County,43.407,-124.224
0787,Independence,Polk County,44.851,-123.187
2978,Lincoln City,Lincoln County,44.958,-124.018
4989,Sweet Home,Linn County,44.398,-122.736
1531,Eagle Point,Jackson County,42.473,-122.803
4373,River Road,Lane County,44.084,-123.134
1867,Florence,Lane County,43.983,-124.100
5411,West Haven,Washington County,45.518,-122.769
0909,Cedar Hills,Washington County,45.505,-122.798
0541,Boring,Clackamas County,45.430,-122.374
3136,Madras,Jefferson County,44.633,-121.129
0726,Green,Douglas County,43.160,-123.368
5178,Umatilla,Umatilla County,45.917,-119.343
4632,Seaside,Clatsop County,45.993,-123.923
2689,Junction City,Lane County,44.219,-123.206
0632,Brookings,Curry County,42.053,-124.284
1888,Warrenton,Clatsop County,46.165,-123.924
1261,Creswell,Lane County,43.918,-123.025
5549,Winston,Douglas County,43.122,-123.413
4005,Philomath,Benton County,44.540,-123.368
2756,King City,Washington County,45.403,-122.804
4518,Sheridan,Yamhill County,45.099,-123.395
2829,Lafayette,Yamhill County,45.244,-123.115
4007,Phoenix,Jackson County,42.275,-122.818
0512,Boardman,Morrow County,45.840,-119.701
1971,Fruitdale,Josephine County,42.416,-123.321
2328,Harrisburg,Linn County,44.274,-123.171
5069,Three Rivers,Deschutes County,43.820,-121.469
5094,Toledo,Lincoln County,44.622,-123.938
2540,Hubbard,Marion County,45.182,-122.808
2193,Jefferson,Marion County,44.720,-123.010
1505,Dundee,Yamhill County,45.278,-123.011
3377,Millersburg,Linn County,44.681,-123.061
2629,Jacksonville,Jackson County,42.313,-122.967
0710,Burns,Harney County,43.586,-119.054
4291,Redwood,Josephine County,42.422,-123.387
1357,Dayton,Yamhill County,45.221,-123.076
2867,Lakeview,Lake County,42.189,-120.346
5154,Turner,Marion County,44.843,-122.953
0696,Bunker Hill,Coos County,43.356,-124.205
5328,Warm Springs,Jefferson County,44.760,-121.268
3771,Odell,Hood River County,45.630,-121.546
0830,Carlton,Yamhill County,45.294,-123.176
4860,Stanfield,Umatilla County,45.780,-119.217
2965,Union,Union County,45.208,-117.865
0729,Enterprise,Wallowa County,45.426,-117.279
0979,Chenoweth,Wasco County,45.621,-121.225
3367,Mill City,Linn County,44.752,-122.477
1158,Columbia City,Columbia County,45.890,-122.807
0752,Durham,Washington County,45.402,-122.753
4236,Rainier,Columbia County,46.089,-122.936
0671,Lakeside,Coos County,43.576,-124.175
5203,Vale,Malheur County,43.982,-117.238
1590,Stafford,Clackamas County,45.358,-122.721
5331,Warren,Columbia County,45.819,-122.848
0265,Banks,Washington County,45.619,-123.114
0120,Amity,Yamhill County,45.116,-123.207
0294,Barview,Coos County,43.354,-124.313
0652,Brownsville,Linn County,44.393,-122.985
1639,Elgin,Union County,45.565,-117.917
1298,Culver,Jefferson County,44.526,-121.213
3626,New Hope,Josephine County,42.362,-123.368
4396,Rockaway Beach,Tillamook County,45.613,-123.943
0307,Bay City,Tillamook County,45.523,-123.889
5041,Terrebonne,Deschutes County,44.349,-121.180
2108,Gold Hill,Jackson County,42.432,-123.051
1112,Coburg,Lane County,44.137,-123.066
4767,South Lebanon,Linn County,44.509,-122.904
3080,Lowell,Lane County,43.918,-122.784
4340,Riddle,Douglas County,42.951,-123.364
3117,Lyons,Linn County,44.775,-122.615
2681,Joseph,Wallowa County,45.354,-117.230
0226,Aurora,Marion County,45.231,-122.756
5511,Williams,Josephine County,42.219,-123.273
1793,Falls City,Polk County,44.866,-123.436
0314,Bayshore,Lincoln County,44.439,-124.075
1453,Donald,Marion County,45.222,-122.839
2783,Knappa,Clatsop County,46.185,-123.586
2657,Jewell,Clatsop County,45.934,-123.504
4615,Scio,Linn County,44.705,-122.849
0744,Mission,Umatilla County,45.670,-118.684
2279,Halsey,Linn County,44.384,-123.110
3758,Oakland,Douglas County,43.422,-123.298
1425,Dexter,Lane County,43.916,-122.822
2089,Glendale,Douglas County,42.736,-123.423
4167,Prairie City,Grant County,44.463,-118.710
3312,Melrose,Douglas County,43.253,-123.457
3335,Merrill,Klamath County,42.025,-121.601
0958,Charleston,Coos County,43.340,-124.330
2640,Jasper,Lane County,43.997,-122.905
2077,Glasgow,Coos County,43.435,-124.211
5119,Trail,Jackson County,42.648,-122.811
4161,Powers,Coos County,42.883,-124.073
2291,Weston,Umatilla County,45.814,-118.425
1173,Condon,Gilliam County,45.234,-120.185
1785,Falcon Heights,Klamath County,42.138,-121.757
2020,Gaston,Washington County,45.435,-123.145
4646,Selma,Josephine County,42.279,-123.616
2964,Monroe,Benton County,44.314,-123.297
1577,Echo,Umatilla County,45.742,-119.196
0174,Arlington,Gilliam County,45.717,-120.201
2735,Kerby,Josephine County,42.194,-123.651
1231,Cove,Union County,45.297,-117.808
3523,Mount Vernon,Grant County,44.418,-119.114
1673,Elmira,Lane County,44.066,-123.354
0815,Johnson City,Clackamas County,45.405,-122.579
2198,Green Meadows,Umatilla County,45.617,-118.800
2555,Huntington,Baker County,44.351,-117.267
0984,Cherry Grove,Washington County,45.448,-123.242
2023,Gates,Linn County,44.756,-122.420
3182,Mapleton,Lane County,44.031,-123.866
0637,Brooks,Marion County,45.051,-122.955
3738,O'Brien,Josephine County,42.069,-123.721
4192,Prospect,Jackson County,42.751,-122.488
5459,Wheeler,Tillamook County,45.689,-123.881
4848,St. Paul,Marion County,45.211,-122.977
5339,Wasco,Sherman County,45.592,-120.698
0529,Bonanza,Klamath County,42.199,-121.406
1237,Crabtree,Linn County,44.635,-122.898
0015,Adams,Umatilla County,45.767,-118.562
1435,Dillard,Douglas County,43.103,-123.428
1773,Haines,Baker County,44.912,-117.939
3482,Moro,Sherman County,45.484,-120.731
3767,Oceanside,Tillamook County,45.459,-123.966
2272,Halfway,Baker County,44.881,-117.115
2599,Ione,Morrow County,45.501,-119.825
4376,Riverside,Umatilla County,45.675,-118.737
0871,Cheshire,Lane County,44.190,-123.284
5448,Westport,Clatsop County,46.131,-123.375
1245,Crawfordsville,Linn County,44.357,-122.858
0760,Marion,Marion County,44.749,-122.942
1436,Dilley,Washington County,45.491,-123.126
3918,Parkdale,Hood River County,45.517,-121.597
5123,Trent,Lane County,43.943,-122.861
1093,Cloverdale,Tillamook County,45.206,-123.892
3887,Paisley,Lake County,42.694,-120.546
2959,Lexington,Morrow County,45.445,-119.684
5352,Waterloo,Linn County,44.494,-122.825
2063,Gilchrist,Klamath County,43.476,-121.688
4958,Sumpter,Baker County,44.746,-118.202
1419,Detroit,Marion County,44.734,-122.150
4466,Rowena,Wasco County,45.672,-121.268
1655,Elkton,Douglas County,43.638,-123.568
3039,Long Creek,Grant County,44.714,-119.104
4138,Richland,Baker County,44.769,-117.169
2330,Seneca,Grant County,44.135,-118.972
0335,Beaver,Tillamook County,45.277,-123.826
5173,Ukiah,Umatilla County,45.134,-118.932
4030,Pine Grove,Wasco County,45.109,-121.362
2774,Kirkpatrick,Umatilla County,45.680,-118.650
4709,Silver Lake,Lake County,43.128,-121.047
0024,Adrian,Malheur County,43.741,-117.072
2176,Grass Valley,Sherman County,45.360,-120.786
3382,Millican,Deschutes County,43.879,-120.920
3413,Mitchell,Wheeler County,44.567,-120.153
0275,Barlow,Clackamas County,45.252,-122.721
1358,Dayville,Grant County,44.468,-119.536
4755,Summerville,Union County,45.488,-118.003
1243,Crane,Harney County,43.415,-118.578
3455,Monument,Grant County,44.819,-119.421
1907,Fort Hill,Polk County,45.067,-123.561
2323,Harper,Malheur County,43.863,-117.610
3637,New Pine Creek,Lake County,41.994,-120.297
3979,Peoria,Linn County,44.449,-123.207
4178,Prescott,Columbia County,46.049,-122.887
2170,Summit,Benton County,44.638,-123.579
0331,Beatty,Klamath County,42.442,-121.270
1712,Eola,Polk County,44.932,-123.119
0487,Blodgett,Benton County,44.597,-123.519
5191,Unity,Baker County,44.437,-118.193
0145,Antelope,Wasco County,44.911,-120.723
2160,Granite,Grant County,44.809,-118.418
0021,Adel,Lake County,42.178,-119.897
0053,Alder,Benton County,44.582,-123.509
0062,Alfalfa,Deschutes County,44.078,-121.016
0067,Algoma,Klamath County,42.347,-121.816
0072,Allegany,Coos County,43.426,-124.024
0094,Alpine,Benton County,44.330,-123.359
0152,Applegate,Jackson County,42.257,-123.167
0228,Austin,Grant County,44.603,-118.497
0259,Ballston,Polk County,45.067,-123.321
0294,Barview,Tillamook County,45.574,-123.942
0367,Bellevue,Yamhill County,45.116,-123.315
0405,Berlin,Linn County,44.498,-122.714
0418,Bethel,Polk County,45.041,-123.184
0424,Beverly Beach,Lincoln County,44.721,-124.057
0462,Black Rock,Polk County,44.871,-123.496
0505,Blue River,Lane County,44.155,-122.340
0608,Brighton,Tillamook County,45.672,-123.923
0609,Brightwood,Clackamas County,45.376,-122.016
0623,Brockway,Douglas County,43.109,-123.455
0669,Buchanan,Harney County,43.642,-118.629
0682,Buena Vista,Polk County,44.770,-123.149
0694,Bull Run,Clackamas County,45.430,-122.232
0707,Burlington,Linn County,44.447,-123.205
0725,Fairview,Coos County,43.217,-124.074
0725,Fairview,Tillamook County,45.458,-123.789
0731,Troy,Wallowa County,45.947,-117.452
0737,Buxton,Washington County,45.689,-123.190
0743,Perry,Union County,45.348,-118.167
0754,Cairo,Malheur County,43.996,-117.009
0809,Pittsburg,Columbia County,45.901,-123.151
0836,Carnation,Washington County,45.508,-123.103
0851,Carson,Baker County,44.936,-117.176
