phoneme,name,county,latitude,longitude
4000,Philadelphia,Philadelphia County,39.952,-75.164
0809,Pittsburgh,Allegheny County,40.441,-79.996
0079,Allentown,Lehigh County,40.608,-75.490
4269,Reading,Berks County,40.336,-75.927
1053,Erie,Erie County,42.129,-80.085
4625,Scranton,Lackawanna County,41.409,-75.662
0421,Bethlehem,Lehigh County,40.626,-75.368
2880,Lancaster,Lancaster County,40.038,-76.306
2953,Levittown,Bucks County,40.155,-74.829
2328,Harrisburg,Dauphin County,40.274,-76.884
5630,York,York County,39.963,-76.728
0102,Altoona,Blair County,40.519,-78.395
0999,Chichester,Delaware County,39.835,-75.444
0843,Hazleton,Luzerne County,40.958,-75.975
3433,Monroeville,Allegheny County,40.421,-79.788
1564,Easton,Northampton County,40.688,-75.221
5514,Williamsport,Lycoming County,41.241,-77.001
4094,Plum,Allegheny County,40.500,-79.749
1546,Lebanon,Lebanon County,40.341,-76.411
3610,New Castle,Lawrence County,41.004,-80.347
0255,Baldwin,Allegheny County,40.338,-79.979
0832,Carlisle,Cumberland County,40.201,-77.189
5405,West Chester,Chester County,39.961,-75.605
2668,Johnstown,Cambria County,40.327,-78.922
2302,Hanover,York County,39.801,-76.983
2418,Hermitage,Mercer County,41.233,-80.449
1977,Fullerton,Lehigh County,40.632,-75.473
1939,Franklin Park,Allegheny County,40.583,-80.088
2217,Greensburg,Westmoreland County,40.301,-79.539
5478,Whitehall,Allegheny County,40.361,-79.991
2424,Hershey,Dauphin County,40.286,-76.650
0167,Ardmore,Delaware County,40.003,-75.295
1511,Dunmore,Lackawanna County,41.420,-75.632
5526,Willow Grove,Montgomery County,40.144,-75.116
1714,Ephrata,Lancaster County,40.180,-76.179
5618,Wynnewood,Montgomery County,40.003,-75.271
2581,Indiana,Indiana County,40.621,-79.153
4155,Pottsville,Schuylkill County,40.686,-76.195
1108,Coatesville,Chester County,39.983,-75.824
2966,Washington,Washington County,40.174,-80.246
4665,Sharon,Mercer County,41.233,-80.493
3297,Meadville,Crawford County,41.641,-80.151
4256,St. Marys,Elk County,41.428,-78.561
1645,Elizabethtown,Lancaster County,40.153,-76.603
4191,Progress,Dauphin County,40.285,-76.831
4689,Shiloh,York County,39.978,-76.797
2889,Lansdowne,Delaware County,39.938,-75.272
5366,Waynesboro,Franklin County,39.756,-77.578
3563,Nanticoke,Luzerne County,41.205,-76.005
3718,Northampton,Northampton County,40.686,-75.497
0414,Berwick,Columbia County,41.055,-76.233
5587,Woodlyn,Delaware County,39.877,-75.344
1150,Columbia,Lancaster County,40.034,-76.504
0589,Brentwood,Allegheny County,40.371,-79.975
1282,Croydon,Bucks County,40.087,-74.903
0614,Bristol,Bucks County,40.101,-74.852
5189,Uniontown,Fayette County,39.900,-79.716
3489,Morrisville,Bucks County,40.212,-74.788
4962,Sunbury,Northumberland County,40.863,-76.794
1584,Middletown,Dauphin County,40.200,-76.731
3299,Mechanicsburg,Cumberland County,40.214,-77.009
3780,Oil City,Venango County,41.434,-79.706
4209,Quakertown,Bucks County,40.442,-75.342
5331,Warren,Warren County,41.844,-79.145
1578,Economy,Beaver County,40.600,-80.225
0220,Audubon,Montgomery County,40.128,-75.432
0825,Carbondale,Lackawanna County,41.574,-75.502
3786,Old Forge,Lackawanna County,41.371,-75.735
2957,Lewistown,Mifflin County,40.599,-77.571
1877,Folsom,Delaware County,39.890,-75.325
4083,Pleasant Hills,Allegheny County,40.336,-79.961
1476,Doylestown,Bucks County,40.310,-75.130
0631,Brookhaven,Delaware County,39.869,-75.382
5341,Wilson,Northampton County,40.684,-75.242
0367,Bellevue,Allegheny County,40.494,-80.052
0781,Camp Hill,Cumberland County,40.240,-76.920
3923,Parkville,York County,39.781,-76.963
0837,Carnegie,Allegheny County,40.409,-80.083
2904,Latrobe,Westmoreland County,40.321,-79.379
2238,Grove City,Mercer County,41.158,-80.089
3900,Palmyra,Lebanon County,40.309,-76.593
2166,Leola,Lancaster County,40.088,-76.185
0566,Bradford,McKean County,41.956,-78.644
3379,Millersville,Lancaster County,39.998,-76.354
4063,Pittston,Luzerne County,41.326,-75.789
3614,New Cumberland,Cumberland County,40.232,-76.885
5471,White Oak,Allegheny County,40.338,-79.809
5627,Yellow Springs,Chester County,40.100,-75.623
1584,Middletown,Northampton County,40.644,-75.332
1494,DuBois,Clearfield County,41.119,-78.760
2050,Gettysburg,Adams County,39.831,-77.231
1178,Connellsville,Fayette County,40.018,-79.589
2554,Huntingdon,Huntingdon County,40.485,-78.010
0111,Ambler,Montgomery County,40.155,-75.222
0478,Blakely,Lackawanna County,41.481,-75.595
3395,Milton,Northumberland County,41.012,-76.848
4494,Rutherford,Dauphin County,40.269,-76.768
4278,Red Lion,York County,39.901,-76.606
4193,Prospect Park,Delaware County,39.888,-75.308
0175,Arlington Heights,Monroe County,40.990,-75.216
1894,Forest Hills,Allegheny County,40.420,-79.850
1842,Taylor,Lackawanna County,41.395,-75.707
1915,Fort Washington,Montgomery County,40.142,-75.209
1211,Corry,Erie County,41.920,-79.640
0363,Bellefonte,Centre County,40.913,-77.778
1938,Franklin,Venango County,41.398,-79.831
1708,Enola,Cumberland County,40.290,-76.934
3578,Nazareth,Northampton County,40.740,-75.310
2061,Gilbertsville,Montgomery County,40.320,-75.610
1238,Crafton,Allegheny County,40.435,-80.066
0951,Somerset,Somerset County,40.008,-79.078
1070,Clearfield,Clearfield County,41.027,-78.439
3734,Norwood,Delaware County,39.892,-75.300
1022,Churchville,Bucks County,40.186,-75.019
3909,Paoli,Chester County,40.042,-75.476
3625,New Holland,Lancaster County,40.102,-76.085
4099,Plymouth,Luzerne County,41.240,-75.945
3876,Oxford,Chester County,39.785,-75.979
3509,Mount Carmel,Northumberland County,40.797,-76.412
3605,New Brighton,Beaver County,40.730,-80.310
1755,Exeter,Luzerne County,41.321,-75.819
2220,Greenville,Mercer County,41.404,-80.391
0764,California,Washington County,40.066,-79.892
4608,Sayre,Bradford County,41.979,-76.516
5170,Tyrone,Blair County,40.671,-78.239
1536,Eagleville,Montgomery County,40.160,-75.408
5487,Whitfield,Berks County,40.336,-76.006
2955,Lewisburg,Union County,40.965,-76.884
5088,Titusville,Crawford County,41.627,-79.674
1514,Duquesne,Allegheny County,40.381,-79.860
0263,Bangor,Northampton County,40.866,-75.207
5429,West York,York County,39.953,-76.751
3160,Manheim,Lancaster County,40.163,-76.395
0600,Bridgeport,Montgomery County,40.105,-75.345
5444,Westmont,Cambria County,40.316,-78.952
5033,Telford,Bucks County,40.326,-75.327
1612,Edwardsville,Luzerne County,41.270,-75.916
1601,Edinboro,Erie County,41.874,-80.132
1924,Fountain Hill,Lehigh County,40.601,-75.395
0975,Cheltenham,Montgomery County,40.061,-75.094
4946,Sugarcreek,Venango County,41.421,-79.881
0604,Bridgeville,Allegheny County,40.356,-80.110
0180,Arnold,Westmoreland County,40.580,-79.767
0230,Avalon,Allegheny County,40.501,-80.068
2940,Lemoyne,Cumberland County,40.241,-76.894
3053,Lorane,Berks County,40.288,-75.855
1209,Cornwall,Lebanon County,40.274,-76.406
2654,Jessup,Lackawanna County,41.469,-75.562
0335,Beaver,Beaver County,40.695,-80.305
3403,Minersville,Schuylkill County,40.691,-76.262
0749,Hamburg,Berks County,40.556,-75.982
4621,Scottdale,Westmoreland County,40.100,-79.587
3252,Maytown,Lancaster County,40.075,-76.582
4718,Sinking Spring,Berks County,40.327,-76.011
4680,Shenandoah,Schuylkill County,40.820,-76.201
1812,Farrell,Mercer County,41.212,-80.497
4668,Sharpsville,Mercer County,41.259,-80.472
0956,Charleroi,Washington County,40.138,-79.898
3519,Mount Pleasant,Westmoreland County,40.149,-79.541
2209,Greencastle,Franklin County,39.790,-77.728
1338,Danville,Montour County,40.963,-76.613
0039,Akron,Lancaster County,40.157,-76.202
5070,Throop,Lackawanna County,41.451,-75.612
3334,Meridian,Butler County,40.848,-79.962
4444,Rosemont,Delaware County,40.031,-75.327
2075,Gladwyne,Montgomery County,40.033,-75.283
5120,Trappe,Montgomery County,40.199,-75.476
4348,Ridgway,Elk County,41.420,-78.729
0641,Brookville,Jefferson County,41.161,-79.083
5367,Waynesburg,Greene County,39.896,-80.179
1943,Frazer,Chester County,40.032,-75.556
3725,Northumberland,Northumberland County,40.892,-76.797
1038,Clarion,Clarion County,41.215,-79.385
0242,Baden,Beaver County,40.635,-80.228
2614,Irwin,Westmoreland County,40.325,-79.701
1641,Elim,Cambria County,40.298,-78.943
5061,Thompsonville,Washington County,40.291,-80.108
1951,Freeland,Luzerne County,41.017,-75.897
1411,Denver,Lancaster County,40.233,-76.137
5064,Thorndale,Chester County,39.993,-75.745
5059,Thomasville,York County,39.895,-76.850
0415,Berwyn,Chester County,40.045,-75.439
4919,Stowe,Montgomery County,40.253,-75.677
2065,Guilford,Franklin County,39.917,-77.599
2222,Greenwood,Blair County,40.536,-78.358
3168,Manor,Westmoreland County,40.334,-79.670
2813,La Mott,Montgomery County,40.068,-75.141
2359,Hatfield,Montgomery County,40.280,-75.299
4795,Spring City,Chester County,40.177,-75.548
4388,Rochester,Beaver County,40.702,-80.286
3152,Malvern,Chester County,40.036,-75.514
0651,Brownstown,Lancaster County,40.124,-76.214
1731,Etna,Allegheny County,40.504,-79.949
4804,Springdale,Allegheny County,40.541,-79.784
2589,Ingram,Allegheny County,40.446,-80.068
4082,Pleasant Hill,Lebanon County,40.336,-76.442
5118,Trafford,Allegheny County,40.385,-79.758
2067,Gillett,Bradford County,41.951,-76.794
0520,Boiling Springs,Cumberland County,40.150,-77.128
0477,Blairsville,Indiana County,40.431,-79.261
0929,Centerville,Washington County,40.045,-79.976
3229,Masontown,Fayette County,39.847,-79.900
5573,Woodbourne,Bucks County,40.192,-74.889
4876,State Line,Franklin County,39.725,-77.724
5217,Valley View,York County,39.950,-76.701
4667,Sharpsburg,Allegheny County,40.495,-79.926
1021,Churchill,Allegheny County,40.438,-79.843
5619,Wyoming,Luzerne County,41.312,-75.837
1598,Edgewood,Allegheny County,40.432,-79.881
1333,Danielsville,Northampton County,40.794,-75.527
2996,Linwood,Delaware County,39.827,-75.425
4057,Pitcairn,Allegheny County,40.403,-79.778
5197,Upland,Delaware County,39.853,-75.383
3313,Melrose Park,Montgomery County,40.062,-75.132
3537,Mountville,Lancaster County,40.039,-76.431
3196,Marietta,Lancaster County,40.057,-76.552
0379,Belmont,Cambria County,40.287,-78.889
0725,Fairview,Erie County,42.031,-80.255
5183,Union City,Erie County,41.900,-79.845
2841,Lake City,Erie County,42.014,-80.345
2383,Hayti,Chester County,39.983,-75.841
5567,Womelsdorf,Berks County,40.362,-76.184
2509,Homestead,Allegheny County,40.406,-79.912
0196,Aspinwall,Allegheny County,40.491,-79.905
5592,Woodside,Bucks County,40.222,-74.875
4212,Quarryville,Lancaster County,39.897,-76.164
3170,Mansfield,Tioga County,41.807,-77.077
1884,Ford City,Armstrong County,40.772,-79.530
0303,Bath,Northampton County,40.726,-75.394
5110,Towanda,Bradford County,41.768,-76.443
3156,Manchester,York County,40.063,-76.718
2057,Gibsonia,Allegheny County,40.630,-79.969
4001,Philipsburg,Centre County,40.896,-78.221
0556,Bowmansville,Lancaster County,40.197,-76.017
2275,Hallam,York County,40.005,-76.604
5409,West Grove,Chester County,39.822,-75.827
1820,Fayetteville,Franklin County,39.911,-77.550
3606,New Britain,Bucks County,40.299,-75.181
4820,St. Clair,Schuylkill County,40.721,-76.191
3492,Morton,Delaware County,39.910,-75.324
2573,Imperial,Allegheny County,40.450,-80.245
3107,Luzerne,Luzerne County,41.286,-75.901
4037,Pine Ridge,Pike County,41.146,-74.991
0785,Marysville,Perry County,40.343,-76.930
3626,New Hope,Bucks County,40.364,-74.951
4404,Rockledge,Montgomery County,40.081,-75.090
1318,Derry,Westmoreland County,40.334,-79.300
4091,Pleasureville,York County,39.997,-76.707
4558,Sand Hill,Lebanon County,40.360,-76.432
0193,Ashley,Luzerne County,41.210,-75.897
1616,Egypt,Lehigh County,40.680,-75.530
1397,Delmont,Westmoreland County,40.413,-79.570
3554,Muse,Washington County,40.293,-80.200
1513,Dupont,Luzerne County,41.325,-75.745
3377,Millersburg,Dauphin County,40.540,-76.961
0235,Avoca,Luzerne County,41.340,-75.736
4274,Red Hill,Montgomery County,40.373,-75.481
2883,Landisville,Lancaster County,40.095,-76.410
0192,Ashland,Columbia County,40.781,-76.345
3256,McAdoo,Schuylkill County,40.910,-75.991
5247,Verona,Allegheny County,40.506,-79.843
1102,Coaldale,Schuylkill County,40.823,-75.907
3544,Muncy,Lycoming County,41.206,-76.786
3233,Matamoras,Pike County,41.369,-74.700
3798,Oliver,Fayette County,39.919,-79.718
5647,Zion,Centre County,40.914,-77.685
2073,Midland,Beaver County,40.633,-80.446
4961,Sun Valley,Monroe County,40.980,-75.466
2665,Johnsonburg,Elk County,41.491,-78.675
2329,Spring Grove,York County,39.875,-76.866
1664,Elysburg,Northumberland County,40.865,-76.552
0397,Bentleyville,Washington County,40.117,-80.008
2878,Lemont,Centre County,40.811,-77.818
0794,Liberty,Allegheny County,40.325,-79.856
2039,Georgetown,Luzerne County,41.227,-75.869
3522,Mount Union,Huntingdon County,40.385,-77.882
