phoneme,name,county,latitude,longitude
4064,Providence,Providence County,41.824,-71.413
5227,Warwick,Kent County,41.700,-71.416
5499,Woonsocket,Providence County,42.003,-71.515
1216,Cumberland,Providence County,41.967,-71.421
1149,Coventry,Kent County,41.698,-71.663
2507,Johnston,Providence County,41.827,-71.520
3533,Newport,Newport County,41.490,-71.313
2826,Lincoln,Providence County,41.915,-71.450
0603,Bristol,Bristol County,41.676,-71.273
4598,Smithfield,Providence County,41.901,-71.529
4011,Portsmouth,Newport County,41.592,-71.284
0278,Barrington,Bristol County,41.733,-71.320
3215,Middletown,Newport County,41.520,-71.280
1452,East Greenwich,Kent County,41.637,-71.501
5097,Valley Falls,Providence County,41.907,-71.391
5219,Warren,Bristol County,41.725,-71.259
4478,Scituate,Providence County,41.812,-71.633
2060,Greenville,Providence County,41.871,-71.552
2353,Hopkinton,Washington County,41.479,-71.758
4201,Richmond,Washington County,41.495,-71.669
0899,Charlestown,Washington County,41.371,-71.680
1642,Exeter,Washington County,41.569,-71.628
2605,Kingston,Washington County,41.480,-71.523
2474,Jamestown,Newport County,41.520,-71.371
1785,Foster,Providence County,41.789,-71.735
3168,Melville,Newport County,41.587,-71.283
2153,Harmony,Providence County,41.888,-71.597
2167,Harrisville,Providence County,41.966,-71.675
0556,Bradford,Washington County,41.399,-71.737
2032,Greene,Kent County,41.691,-71.746
0789,Carolina,Washington County,41.457,-71.663
5518,Wyoming,Washington County,41.515,-71.701
0995,Clayville,Providence County,41.778,-71.676
