phoneme,name,county,latitude,longitude
01567,Charleston,Berkeley County / Charleston County,32.828,-79.973
01835,Columbia,Lexington County / Richland County,34.041,-80.906
05801,Mount Pleasant,Charleston County,32.794,-79.863
07315,Rock Hill,York County,34.925,-81.025
03548,Greenville,Greenville County,34.853,-82.394
07969,Summerville,Berkeley County / Charleston County / Dorchester County,33.006,-80.179
03410,Goose Creek,Berkeley County,32.981,-80.033
08304,Sumter,Sumter County,33.920,-80.341
03027,Florence,Florence County,34.195,-79.763
03553,Greer,Greenville County / Spartanburg County,34.930,-82.238
08030,Spartanburg,Spartanburg County,34.950,-81.932
00901,Bluffton,Beaufort County,32.237,-80.860
00063,Aiken,Aiken County,33.560,-81.720
01216,Burgess,Horry County,33.607,-79.056
00206,Anderson,Anderson County,34.503,-82.650
07877,Simpsonville,Greenville County,34.737,-82.254
04826,Lexington,Lexington County,33.982,-81.236
02540,Easley,Anderson County / Pickens County,34.820,-82.582
01902,Conway,Horry County,33.836,-79.048
03552,Greenwood,Greenwood County,34.195,-82.162
08085,St. Andrews,Richland County,34.049,-81.103
02999,Five Forks,Greenville County,34.805,-82.230
09118,West Columbia,Lexington County,33.993,-81.074
07118,Red Hill,Horry County,33.778,-79.015
00698,Berea,Greenville County,34.885,-82.456
07744,Seven Oaks,Lexington County,34.049,-81.146
02300,Dentsville,Richland County,34.064,-80.958
03227,Gantt,Greenville County,34.800,-82.424
01424,Cayce,Lexington County / Richland County,33.950,-81.040
06882,Port Royal,Beaufort County,32.379,-80.693
06505,Parker,Greenville County,34.851,-82.453
00580,Beaufort,Beaufort County,32.432,-80.670
06344,Orangeburg,Orangeburg County,33.492,-80.856
06214,Oak Grove,Lexington County,33.972,-81.144
03233,Garden City,Horry County,33.593,-79.009
00916,Boiling Springs,Spartanburg County,35.047,-81.982
06050,Newberry,Newberry County,34.275,-81.619
07111,Red Bank,Lexington County,33.932,-81.238
04905,Little River,Horry County,33.873,-78.614
04722,Laurens,Laurens County,34.499,-82.014
07737,Seneca,Oconee County,34.686,-82.953
09494,York,York County,34.994,-81.242
04660,Lancaster,Lancaster County,34.720,-80.771
07619,Sans Souci,Greenville County,34.878,-82.424
03279,Georgetown,Georgetown County,33.377,-79.294
08737,Union,Union County,34.715,-81.624
01309,Camden,Kershaw County,34.247,-80.607
01240,Burton,Beaufort County,32.436,-80.724
08619,Travelers Rest,Greenville County,34.968,-82.443
01741,Clinton,Laurens County,34.473,-81.881
03745,Hartsville,Darlington County,34.374,-80.073
08794,Valley Falls,Spartanburg County,35.016,-81.975
09080,Welcome,Greenville County,34.827,-82.439
01519,Centerville,Anderson County,34.532,-82.704
00685,Bennettsville,Marlboro County,34.617,-79.685
01749,Clover,York County,35.111,-81.226
05093,Lyman,Spartanburg County,34.948,-82.127
05248,Marion,Marion County,34.178,-79.401
02345,Dillon,Dillon County,34.417,-79.371
02204,Darlington,Darlington County,34.300,-79.876
04601,Lake City,Florence County,33.871,-79.755
06684,Piedmont,Anderson County / Greenville County,34.706,-82.467
03987,Hollywood,Charleston County,32.734,-80.242
00667,Belvedere,Aiken County,33.531,-81.945
01520,Central,Pickens County,34.724,-82.781
01609,Chester,Chester County,34.705,-81.214
01594,Cheraw,Chesterfield County,34.698,-79.883
00003,Abbeville,Abbeville County,34.178,-82.379
00485,Barnwell,Barnwell County,33.245,-81.359
02546,East Camden,Kershaw County,34.256,-80.575
06065,Newport,York County,34.990,-81.101
00658,Belton,Anderson County,34.523,-82.494
09426,Woodruff,Spartanburg County,34.740,-82.037
08338,Surfside Beach,Horry County,33.606,-78.973
01102,Brookdale,Orangeburg County,33.507,-80.823
02481,Duncan,Spartanburg County,34.938,-82.145
09306,Williamston,Anderson County,34.618,-82.478
08953,Walhalla,Oconee County,34.765,-83.064
07657,Saxon,Spartanburg County,34.961,-81.967
01721,Clearwater,Aiken County,33.497,-81.892
08609,Townville,Anderson County,34.564,-82.899
05189,Manning,Clarendon County,33.695,-80.211
06174,Northlake,Anderson County,34.566,-82.684
07240,Ridgeland,Beaufort County / Jasper County,32.469,-80.921
09267,Whitney,Spartanburg County,34.984,-81.926
06600,Pendleton,Anderson County / Pickens County,34.642,-82.779
04805,Lesslie,York County,34.891,-80.956
09086,Wellford,Spartanburg County,34.951,-82.106
00260,Arcadia,Spartanburg County,34.958,-81.991
09069,Wedgefield,Sumter County,33.893,-80.518
06678,Pickens,Pickens County,34.883,-82.707
04831,Liberty,Pickens County,34.788,-82.692
02176,Dalzell,Sumter County,34.017,-80.430
09359,Winnsboro,Fairfield County,34.381,-81.086
03936,Hilltop,Spartanburg County,34.982,-81.964
02291,Denmark,Bamberg County,33.323,-81.142
07557,Saluda,Saluda County,34.002,-81.772
04173,Inman,Spartanburg County,35.047,-82.090
00792,Bishopville,Lee County,34.218,-80.248
01603,Cherryvale,Sumter County,33.956,-80.458
09312,Williston,Barnwell County,33.403,-81.420
02671,Elgin,Lancaster County,34.673,-80.719
04644,Lakewood,Sumter County,33.847,-80.350
03669,Hampton,Hampton County,32.878,-81.128
08065,Springdale,Lexington County,33.959,-81.109
00127,Allendale,Allendale County,33.008,-81.308
03474,Graniteville,Aiken County,33.564,-81.808
08065,Springdale,Lancaster County,34.689,-80.786
00210,Andrews,Georgetown County / Williamsburg County,33.449,-79.566
00282,Arkwright,Spartanburg County,34.924,-81.933
07796,Shell Point,Beaufort County,32.384,-80.736
02609,Edgefield,Edgefield County,33.790,-81.930
09177,Westminster,Oconee County,34.665,-83.097
06726,Pine Ridge,Lexington County,33.910,-81.105
05365,McCormick,McCormick County,33.913,-82.293
00671,Ben Avon,Spartanburg County,34.937,-81.879
04302,Johnston,Edgefield County,33.832,-81.801
08530,Tigerville,Greenville County,35.068,-82.368
07290,Riverview,York County,35.003,-80.980
04675,Langley,Aiken County,33.518,-81.844
03503,Great Falls,Chester County,34.575,-80.902
00823,Blacksburg,Cherokee County,35.121,-81.516
01560,Chapin,Lexington County,34.166,-81.350
02813,Estill,Hampton County,32.755,-81.242
08101,St. George,Dorchester County,33.186,-80.576
08119,St. Matthews,Calhoun County,33.665,-80.778
04025,Hopkins,Richland County,33.904,-80.877
08773,Utica,Oconee County,34.678,-82.932
05339,Mayo,Spartanburg County,35.084,-81.860
04005,Homewood,Horry County,33.884,-79.048
07153,Reidville,Spartanburg County,34.863,-82.114
03257,Gaston,Lexington County,33.817,-81.101
02671,Elgin,Kershaw County,34.171,-80.794
07246,Ridgeville,Dorchester County,33.096,-80.315
08128,St. Stephen,Berkeley County,33.404,-79.922
04232,Jackson,Aiken County,33.325,-81.788
04331,Judson,Greenville County,34.833,-82.428
01451,Catawba,York County,34.853,-80.911
02869,Fairfax,Allendale County,32.959,-81.237
04291,Joanna,Laurens County,34.415,-81.811
04301,Johnsonville,Florence County,33.818,-79.449
06593,Pelzer,Anderson County,34.642,-82.456
01732,Cleveland,Greenville County,35.072,-82.527
01610,Chesterfield,Chesterfield County,34.736,-80.088
01188,Buffalo,Union County,34.726,-81.683
06318,Olympia,Richland County,33.977,-81.030
04708,Latta,Dillon County,34.337,-79.431
04206,Irwin,Lancaster County,34.694,-80.822
03983,Holly Hill,Orangeburg County,33.323,-80.414
07706,Seabrook,Beaufort County,32.528,-80.766
06977,Prosperity,Newberry County,34.209,-81.533
04868,Lincolnville,Charleston County / Dorchester County,33.008,-80.156
04223,Iva,Anderson County,34.306,-82.664
02438,Drayton,Spartanburg County,34.968,-81.906
06234,Oakland,Sumter County,33.983,-80.488
00523,Bath,Aiken County,33.504,-81.869
07612,Sandy Springs,Anderson County,34.595,-82.750
