phoneme,name,county,latitude,longitude
4255,Rapid City,Pennington County,44.081,-103.231
2284,Watertown,Codington County,44.899,-97.115
3413,Mitchell,Davison County,43.709,-98.030
5624,Yankton,Yankton County,42.871,-97.397
2006,Huron,Beadle County,44.363,-98.214
0557,Box Elder,Meade County,44.111,-103.081
2328,Harrisburg,Lincoln County,43.431,-96.697
4936,Sturgis,Meade County,44.410,-103.509
2097,Madison,Lake County,44.006,-97.114
2530,Hot Springs,Fall River County,43.432,-103.474
4037,Pine Ridge,Oglala Lakota County,43.026,-102.556
0467,Blackhawk,Meade County,44.151,-103.308
2942,Lennox,Lincoln County,43.354,-96.892
1066,Springfield,Bon Homme County,42.854,-97.897
2189,Rosebud,Todd County,43.233,-100.853
1310,Custer,Custer County,43.767,-103.599
5294,Wagner,Charles Mix County,43.080,-98.293
2800,Kyle,Oglala Lakota County,43.425,-102.177
2236,Groton,Brown County,45.447,-98.099
1952,Freeman,Hutchinson County,43.352,-97.437
4127,Porcupine,Oglala Lakota County,43.240,-102.331
0260,Baltic,Minnehaha County,43.761,-96.740
0616,Britton,Marshall County,45.792,-97.751
1364,Deadwood,Lawrence County,44.377,-103.730
2224,Gregory,Gregory County,43.232,-99.430
2169,Green Valley,Pennington County,44.036,-103.111
0744,Mission,Todd County,43.306,-100.658
1039,Clark,Clark County,44.878,-97.733
2050,Gettysburg,Potter County,45.012,-99.956
5082,Tyndall,Bon Homme County,42.993,-97.863
4013,Piedmont,Meade County,44.232,-103.389
2008,Martin,Bennett County,43.172,-101.733
2602,Ipswich,Edmunds County,45.444,-99.029
5605,Worthing,Lincoln County,43.329,-96.763
0929,Centerville,Turner County,43.119,-96.961
2457,Hill City,Pennington County,43.932,-103.575
0174,Arlington,Brookings County,44.364,-97.134
2164,Whitewood,Lawrence County,44.461,-103.639
0004,Aberdeen,Brown County,45.454,-98.521
2123,Goodwill,Roberts County,45.596,-97.050
5216,Valley Springs,Minnehaha County,43.582,-96.468
2167,Howard,Miner County,44.011,-97.527
2304,Utica,Yankton County,42.949,-97.462
0743,Perry,Lincoln County,43.394,-96.858
0760,Marion,Turner County,43.423,-97.261
0575,Brandon,Minnehaha County,43.641,-96.600
1740,Eureka,McPherson County,45.769,-99.620
1728,Estelline,Hamlin County,44.575,-96.902
0145,Antelope,Todd County,43.303,-100.629
2009,Scotland,Bon Homme County,43.150,-97.718
1594,Edgemont,Fall River County,43.301,-103.825
1655,Elkton,Brookings County,44.236,-96.481
5601,Woonsocket,Sanborn County,44.054,-98.276
0073,Allen,Bennett County,43.281,-101.924
1105,Colton,Minnehaha County,43.786,-96.928
1587,Wall,Pennington County,43.992,-102.242
2341,Hartford,Minnehaha County,43.638,-96.960
0881,Castlewood,Hamlin County,44.723,-97.030
4642,Selby,Walworth County,45.506,-100.032
0725,Fairview,Clay County,42.772,-96.858
1135,Colman,Moody County,43.982,-96.814
3324,Menno,Hutchinson County,43.240,-97.578
0060,Alexandria,Hanson County,43.654,-97.783
