phoneme,name,county,latitude,longitude
05899,Nashville,Davidson County,36.169,-86.785
05446,Memphis,Shelby County,35.150,-90.049
04523,Knoxville,Knox County,35.961,-83.921
01579,Chattanooga,Hamilton County,35.046,-85.310
01697,Clarksville,Montgomery County,36.530,-87.359
05854,Murfreesboro,Rutherford County,35.846,-86.390
03133,Franklin,Williamson County,35.925,-86.869
04298,Johnson City,Carter County,36.342,-82.381
01937,Cordova,Shelby County,35.156,-89.776
04232,Jackson,Madison County,35.615,-88.814
03835,Hendersonville,Sumner County,36.305,-86.620
00498,Bartlett,Shelby County,35.205,-89.874
07936,Smyrna,Rutherford County,35.969,-86.529
08056,Spring Hill,Maury County,35.747,-86.917
01827,Collierville,Shelby County,35.042,-89.665
01732,Cleveland,Bradley County,35.160,-84.877
03216,Gallatin,Sumner County,36.388,-86.447
01036,Brentwood,Williamson County,36.033,-86.783
01835,Columbia,Maury County,35.615,-87.035
03288,Germantown,Shelby County,35.087,-89.810
04758,Lebanon,Wilson County,36.208,-86.291
01149,Brunswick,Shelby County,35.267,-89.769
05294,Maryville,Blount County,35.756,-83.970
06226,Oak Ridge,Anderson County,35.966,-84.291
05746,Morristown,Hamblen County,36.204,-83.300
01078,Bristol,Sullivan County,36.595,-82.189
02925,Farragut,Knox County,35.876,-84.180
07792,Shelbyville,Bedford County,35.483,-86.460
08067,Springfield,Robertson County,36.509,-86.885
02337,Dickson,Dickson County,36.077,-87.388
07755,Seymour,Blount County,35.883,-83.762
00285,Arlington,Shelby County,35.296,-89.661
00342,Athens,McMinn County,35.443,-84.593
05393,McMinnville,Warren County,35.683,-85.770
04630,Lakeland,Shelby County,35.231,-89.740
06918,Powell,Knox County,36.032,-84.028
09226,White House,Robertson County,36.465,-86.666
06892,Portland,Robertson County,36.597,-86.527
05172,Manchester,Coffee County,35.482,-86.089
04822,Lewisburg,Marshall County,35.449,-86.789
02086,Crossville,Cumberland County,35.949,-85.027
03745,Hartsville,Trousdale County,36.393,-86.157
07111,Red Bank,Hamilton County,35.112,-85.294
04732,Lawrenceburg,Lawrence County,35.242,-87.335
05507,Middle Valley,Hamilton County,35.196,-85.185
08740,Union City,Obion County,36.424,-89.057
05279,Martin,Weakley County,36.343,-88.850
05570,Millington,Shelby County,35.341,-89.897
03650,Halls Crossroads,Knox County,36.080,-83.942
06499,Paris,Henry County,36.302,-88.327
00353,Atoka,Tipton County,35.441,-89.778
01741,Clinton,Anderson County,36.103,-84.132
03648,Halls,Knox County,36.082,-83.933
02882,Fairview,Williamson County,35.982,-87.121
01135,Brownsville,Haywood County,35.594,-89.262
09340,Winchester,Franklin County,35.186,-86.112
06234,Oakland,Fayette County,35.229,-89.515
00868,Bloomingdale,Sullivan County,36.585,-82.489
02003,Covington,Tipton County,35.564,-89.646
03724,Harrison,Hamilton County,35.114,-85.138
04264,Jefferson City,Jefferson County,36.122,-83.492
06985,Pulaski,Giles County,35.200,-87.031
05533,Milan,Gibson County,35.920,-88.759
04826,Lexington,Henderson County,35.651,-88.393
04084,Humboldt,Gibson County,35.827,-88.904
07269,Ripley,Lauderdale County,35.745,-89.530
04552,La Follette,Campbell County,36.383,-84.120
07650,Savannah,Hardin County,35.225,-88.249
02226,Dayton,Rhea County,35.494,-85.012
01660,Church Hill,Hawkins County,36.522,-82.713
03513,Green Hill,Wilson County,36.223,-86.549
02939,Fayetteville,Lincoln County,35.152,-86.571
03531,Greenbrier,Robertson County,36.428,-86.805
06065,Newport,Cocke County,35.967,-83.188
05094,Lynchburg,Moore County,35.289,-86.359
05848,Munford,Tipton County,35.449,-89.815
08368,Sweetwater,McMinn County,35.603,-84.471
03834,Henderson,Chester County,35.439,-88.641
05562,Millersville,Robertson County,36.397,-86.711
05024,Loudon,Loudon County,35.733,-84.334
04474,Kingston,Roane County,35.881,-84.509
02795,Erwin,Unicoi County,36.145,-82.417
03719,Harriman,Morgan County,35.930,-84.563
04584,Lafayette,Macon County,36.521,-86.026
07342,Rockwood,Roane County,35.866,-84.685
05779,Mount Carmel,Hawkins County,36.545,-82.661
05117,McKenzie,Carroll County,36.137,-88.507
02489,Dunlap,Sequatchie County,35.371,-85.391
05428,Medina,Gibson County,35.803,-88.775
00924,Bolivar,Hardeman County,35.256,-88.988
07930,Smithville,DeKalb County,35.961,-85.814
05136,Madisonville,Monroe County,35.520,-84.364
06808,Pleasant View,Cheatham County,36.394,-87.037
08029,Sparta,White County,35.926,-85.464
05801,Mount Pleasant,Maury County,35.534,-87.207
03062,Forest Hills,Davidson County,36.068,-86.844
06218,Oak Hill,Davidson County,36.088,-86.783
07358,Rogersville,Hawkins County,36.407,-83.005
01921,Coopertown,Robertson County,36.438,-86.967
04094,Huntingdon,Carroll County,36.001,-88.428
05030,Louisville,Blount County,35.822,-84.048
01649,Christiana,Rutherford County,35.710,-86.399
09046,Waverly,Humphreys County,36.084,-87.795
08624,Trenton,Gibson County,35.981,-88.941
06214,Oak Grove,Washington County,36.412,-82.425
04920,Livingston,Overton County,36.383,-85.323
08083,Spurgeon,Sullivan County,36.444,-82.461
06327,Oneida,Scott County,36.498,-84.513
01309,Camden,Benton County,36.059,-88.098
02818,Etowah,McMinn County,35.323,-84.525
04256,Jasper,Marion County,35.074,-85.626
01519,Centerville,Hickman County,35.779,-87.467
01389,Karns,Knox County,35.982,-84.114
07969,Somerville,Fayette County,35.244,-89.350
06049,Newbern,Dyer County,36.113,-89.262
02439,Dresden,Weakley County,36.291,-88.708
01771,Coalfield,Morgan County,36.029,-84.421
01839,Colonial Heights,Sullivan County,36.485,-82.503
01069,Brighton,Tipton County,35.484,-89.725
05674,Monterey,Putnam County,36.148,-85.268
00640,Belle Meade,Davidson County,36.096,-86.857
09179,Westmoreland,Sumner County,36.562,-86.248
09400,Woodbury,Cannon County,35.828,-86.072
09257,Whiteville,Hardeman County,35.326,-89.150
01738,Clifton,Wayne County,35.387,-87.995
02547,East Cleveland,Bradley County,35.161,-84.858
09232,White Pine,Hamblen County,36.101,-83.286
08976,Walnut Hill,Sullivan County,36.570,-82.257
05528,Midway,Washington County,36.294,-82.419
07464,Rural Hill,Wilson County,36.117,-86.479
00657,Bells,Crockett County,35.711,-89.088
05757,Mosheim,Greene County,36.190,-82.958
05815,Mountain City,Johnson County,36.475,-81.805
05295,Mascot,Knox County,36.061,-83.746
06500,Park City,Lincoln County,35.082,-86.571
09013,Washburn,Grainger County,36.290,-83.591
08436,Tazewell,Claiborne County,36.454,-83.569
09051,Waynesboro,Wayne County,35.320,-87.762
04231,Jacksboro,Campbell County,36.330,-84.184
00078,Alamo,Crockett County,35.785,-89.117
02515,Dyer,Gibson County,36.067,-88.994
01413,Carthage,Smith County,36.252,-85.952
04024,Hopewell,Bradley County,35.235,-84.888
00034,Adamsville,Hardin County,35.238,-88.378
07988,South Fulton,Obion County,36.501,-88.875
01417,Caryville,Campbell County,36.299,-84.223
02264,Del Rio,Cocke County,35.920,-83.026
07244,Ridgetop,Davidson County,36.404,-86.768
00830,Blaine,Grainger County,36.154,-83.704
