phoneme,name,county,latitude,longitude
04050,Houston,Fort Bend County / Harris County / Montgomery County / Waller County,29.786,-95.389
07563,San Antonio,Bexar County / Comal County / Medina County,29.463,-98.525
02173,Dallas,Collin County / Dallas County / Denton County / Kaufman County / Rockwall County,32.793,-96.767
00373,Austin,Bastrop County / Hays County / Travis County / Williamson County,30.301,-97.754
02648,El Paso,El Paso County,31.759,-106.487
00285,Arlington,Tarrant County,32.736,-97.108
06780,Plano,Collin County / Denton County,33.051,-96.748
04688,Laredo,Webb County,27.506,-99.508
02794,Irving,Dallas County,32.814,-96.949
03242,Garland,Collin County / Dallas County / Rockwall County,32.910,-96.630
03176,Frisco,Collin County / Denton County,33.155,-96.823
05388,McKinney,Collin County,33.198,-96.615
04502,Klein,Harris County,30.046,-95.536
03453,Grand Prairie,Dallas County / Ellis County / Tarrant County,32.686,-97.021
01135,Brownsville,Cameron County,25.902,-97.497
02154,Cypress,Harris County,29.971,-95.697
06526,Pasadena,Harris County,29.691,-95.209
02299,Denton,Denton County,33.215,-97.133
05484,Mesquite,Dallas County / Kaufman County,32.760,-96.584
08921,Waco,McLennan County,31.549,-97.147
01401,Carrollton,Collin County / Dallas County / Denton County,32.989,-96.900
05523,Midland,Martin County / Midland County,32.025,-102.113
00011,Abilene,Jones County / Taylor County,32.455,-99.738
07429,Round Rock,Travis County / Williamson County,30.527,-97.660
01824,College Station,Brazos County,30.628,-96.334
07215,Richardson,Collin County / Dallas County,32.972,-96.708
04825,Lewisville,Dallas County / Denton County,33.051,-96.975
00582,Beaumont,Jefferson County,30.086,-94.102
06263,Odessa,Ector County / Midland County,31.880,-102.345
08716,Tyler,Smith County,32.351,-95.301
00125,Allen,Collin County,33.103,-96.671
02620,Edinburg,Hidalgo County,26.302,-98.163
01045,Bryan,Brazos County,30.674,-96.370
05617,Mission,Hidalgo County,26.216,-98.325
08448,Temple,Bell County,31.098,-97.343
00548,Baytown,Chambers County / Harris County,29.765,-94.967
04985,Longview,Gregg County / Harrison County,32.519,-94.765
02909,Pharr,Hidalgo County,26.195,-98.184
03279,Georgetown,Williamson County,30.633,-97.677
05622,Missouri City,Fort Bend County / Harris County,29.563,-95.536
05194,Mansfield,Ellis County / Johnson County / Tarrant County,32.569,-97.121
03705,Harlingen,Cameron County,26.191,-97.696
07577,San Marcos,Caldwell County / Guadalupe County / Hays County,29.874,-97.935
04749,Leander,Travis County / Williamson County,30.574,-97.862
08870,Victoria,Victoria County,28.805,-97.004
08047,Spring,Harris County,30.080,-95.417
09292,Wylie,Collin County / Dallas County / Rockwall County,33.036,-96.520
02310,DeSoto,Dallas County,32.590,-96.857
06873,Port Arthur,Jefferson County / Orange County,29.900,-93.894
08471,Texas City,Chambers County / Galveston County,29.434,-94.893
03220,Galveston,Galveston County,29.301,-94.798
04543,Kyle,Hays County,29.989,-97.877
01222,Burleson,Johnson County / Tarrant County,32.516,-97.327
