phoneme,name,county,latitude,longitude
4378,St. George,Washington County,37.104,-113.584
4438,Sandy,Salt Lake County,40.592,-111.884
3644,Ogden,Weber County,41.223,-111.974
2767,Layton,Davis County,41.060,-111.971
4910,Taylorsville,Salt Lake County,40.668,-111.939
2159,Herriman,Salt Lake County,40.514,-112.033
2878,Logan,Cache County,41.735,-111.834
1384,Draper,Salt Lake County,40.495,-111.861
3421,Murray,Salt Lake County,40.667,-111.888
4246,Riverton,Salt Lake County,40.522,-111.939
4463,Saratoga Springs,Utah County,40.349,-111.905
4339,Roy,Weber County,41.162,-112.026
3955,Pleasant Grove,Utah County,40.364,-111.739
0847,Cedar City,Iron County,37.677,-113.062
4692,Springville,Utah County,40.165,-111.611
3222,Midvale,Salt Lake County,40.611,-111.900
4881,Syracuse,Davis County,41.089,-112.065
0999,Clearfield,Davis County,41.111,-112.026
2317,Holladay,Salt Lake County,40.669,-111.825
5232,Washington,Washington County,37.131,-113.508
1682,Farmington,Davis County,40.980,-111.887
1012,Clinton,Davis County,41.140,-112.050
3826,Payson,Utah County,40.044,-111.732
2398,Hurricane,Washington County,37.175,-113.290
5299,West Haven,Weber County,41.203,-112.051
2275,Highland,Utah County,40.450,-111.770
2224,Heber,Wasatch County,40.507,-111.413
0870,Centerville,Davis County,40.918,-111.872
4606,Smithfield,Cache County,41.838,-111.833
5156,Vineyard,Utah County,40.297,-111.747
2015,Grantsville,Tooele County,40.600,-112.464
3043,Mapleton,Utah County,40.130,-111.579
2838,Lindon,Utah County,40.343,-111.721
5313,West Point,Davis County,41.118,-112.084
3962,Pleasant View,Weber County,41.318,-111.992
0092,Alpine,Utah County,40.453,-111.778
5131,Vernal,Uintah County,40.456,-109.529
2304,Hyrum,Cache County,41.634,-111.852
0852,Cedar Hills,Utah County,40.414,-111.759
4389,Salem,Utah County,40.053,-111.674
4243,Riverdale,Weber County,41.177,-112.004
2350,Hooper,Weber County,41.164,-112.122
4066,Providence,Cache County,41.706,-111.817
3788,Park City,Summit County,40.652,-111.502
4051,Price,Carbon County,39.599,-110.811
4199,Richfield,Sevier County,38.772,-112.084
3944,Plain City,Weber County,41.298,-112.086
4450,Santa Clara,Washington County,37.133,-113.654
2167,Harrisville,Weber County,41.281,-111.988
4302,Roosevelt,Duchesne County,40.299,-109.989
3223,Midway,Wasatch County,40.512,-111.474
3856,Perry,Box Elder County,41.465,-112.032
1600,Ephraim,Sanpete County,39.360,-111.586
5356,White City,Salt Lake County,40.566,-111.864
4848,Sunset,Davis County,41.138,-112.028
2402,Hyde Park,Cache County,41.799,-111.819
3341,Morgan,Morgan County,41.036,-111.677
5282,Wellsville,Cache County,41.639,-111.934
3389,Mount Pleasant,Sanpete County,39.547,-111.455
1306,Delta,Millard County,39.352,-112.577
0327,Beaver,Beaver County,38.277,-112.641
2090,Gunnison,Sanpete County,39.155,-111.818
4203,Richmond,Cache County,41.923,-111.814
