phoneme,name,county,latitude,longitude
01605,Chesapeake,Chesapeake city,36.819,-76.275
00285,Arlington,Arlington County,38.890,-77.084
06114,Norfolk,Norfolk city,36.847,-76.285
07225,Richmond,Richmond city,37.554,-77.460
00106,Alexandria,Alexandria city,38.805,-77.047
03669,Hampton,Hampton city,37.030,-76.345
07296,Roanoke,Roanoke city,37.271,-79.941
06893,Portsmouth,Portsmouth city,36.835,-76.298
05094,Lynchburg,Lynchburg city,37.414,-79.142
01525,Centreville,Fairfax County,38.840,-77.429
07187,Reston,Fairfax County,38.969,-77.341
05526,Midlothian,Chesterfield County,37.522,-77.665
03726,Harrisonburg,Harrisonburg city,38.450,-78.869
05391,McLean,Fairfax County,38.934,-77.177
04771,Leesburg,Loudoun County,39.116,-77.564
08663,Tuckahoe,Henrico County,37.590,-77.556
01572,Charlottesville,Charlottesville city,38.029,-78.477
00320,Ashburn,Loudoun County,39.044,-77.487
00823,Blacksburg,Montgomery County,37.230,-80.414
01217,Burke,Fairfax County,38.793,-77.272
09403,Woodbridge,Prince William County,38.658,-77.250
05171,Manassas,Manassas city,38.751,-77.475
02195,Danville,Danville city,36.586,-79.395
00219,Annandale,Fairfax County,38.830,-77.196
05422,Mechanicsville,Hanover County,37.609,-77.373
06241,Oakton,Fairfax County,38.881,-77.301
02860,Fair Oaks,Fairfax County,38.866,-77.369
06642,Petersburg,Petersburg city,37.228,-77.402
08067,Springfield,Fairfax County,38.789,-77.187
08187,Sterling,Loudoun County,39.006,-77.429
01079,Bristow,Prince William County,38.723,-77.536
03146,Fredericksburg,Fredericksburg city,38.303,-77.461
09340,Winchester,Winchester city,39.186,-78.163
08171,Staunton,Staunton city,38.150,-79.072
07536,Salem,Salem city,37.293,-80.055
01462,Cave Spring,Roanoke County,37.228,-80.013
03857,Herndon,Fairfax County,38.970,-77.387
02869,Fairfax,Fairfax city,38.846,-77.306
08387,Tabb,York County,37.123,-76.457
01557,Chantilly,Fairfax County,38.894,-77.431
09155,West Springfield,Fairfax County,38.773,-77.221
04024,Hopewell,Hopewell city,37.304,-77.287
01651,Christiansburg,Montgomery County,37.130,-80.409
09417,Woodlawn,Fairfax County,38.717,-77.133
09051,Waynesboro,Waynesboro city,38.068,-78.889
01609,Chester,Chesterfield County,37.357,-77.442
01599,Cherry Hill,Prince William County,38.570,-77.267
05670,Montclair,Prince William County,38.611,-77.340
07390,Rose Hill,Fairfax County,38.789,-77.113
05008,Lorton,Fairfax County,38.704,-77.228
05397,McNair,Fairfax County,38.952,-77.414
05413,Meadowbrook,Chesterfield County,37.449,-77.474
05473,Merrifield,Fairfax County,38.874,-77.227
04475,Kingstowne,Fairfax County,38.761,-77.145
03129,Franconia,Fairfax County,38.782,-77.146
01839,Colonial Heights,Colonial Heights city,37.244,-77.410
04714,Laurel,Henrico County,37.643,-77.509
00929,Bon Air,Chesterfield County,37.525,-77.558
03206,Gainesville,Prince William County,38.796,-77.614
01078,Bristol,Bristol city,36.596,-82.188
01203,Bull Run,Prince William County,38.784,-77.521
07034,Radford,Radford city,37.132,-80.576
08874,Vienna,Fairfax County,38.901,-77.265
03978,Hollins,Botetourt County,37.344,-79.952
08219,Stone Ridge,Loudoun County,38.925,-77.555
09302,Williamsburg,Williamsburg city,37.271,-76.707
01086,Broadlands,Loudoun County,39.018,-77.520
03905,Highland Springs,Henrico County,37.546,-77.328
03338,Glen Allen,Henrico County,37.666,-77.506
03503,Great Falls,Fairfax County,38.998,-77.288
03584,Groveton,Fairfax County,38.767,-77.085
04095,Huntington,Fairfax County,38.792,-77.071
05809,Mount Vernon,Fairfax County,38.735,-77.095
05284,Martinsville,Martinsville city,36.692,-79.873
06058,Newington,Fairfax County,38.738,-77.185
04679,Lansdowne,Loudoun County,39.085,-77.484
08537,Timberlake,Campbell County,37.321,-79.258
04940,Locust Grove,Orange County,38.281,-77.726
04636,Lakeside,Henrico County,37.608,-77.477
05172,Manchester,Chesterfield County,37.486,-77.534
09342,Wyndham,Henrico County,37.698,-77.612
08941,Wakefield,Fairfax County,38.825,-77.243
05953,New Baltimore,Fauquier County,38.767,-77.728
03056,Forest,Bedford County,37.364,-79.290
08626,Triangle,Prince William County,38.547,-77.337
05133,Madison Heights,Amherst County,37.431,-79.123
09405,Woodburn,Fairfax County,38.847,-77.236
09006,Warrenton,Fauquier County,38.713,-77.795
09497,Yorkshire,Prince William County,38.793,-77.448
02401,Doran,Tazewell County,37.093,-81.833
00664,Belmont,Loudoun County,39.065,-77.510
01993,Countryside,Loudoun County,39.041,-77.414
04174,Innsbrook,Henrico County,37.654,-77.576
06985,Pulaski,Pulaski County,37.048,-80.780
07924,Smithfield,Isle of Wight County,36.982,-76.631
04617,Lake of the Woods,Orange County,38.334,-77.756
04718,Laurel Hill,Fairfax County,38.717,-77.237
00012,Abingdon,Washington County,36.710,-81.977
03133,Franklin,Franklin city,36.678,-76.922
00662,Bellwood,Chesterfield County,37.422,-77.437
08898,Vinton,Roanoke County,37.281,-79.897
07979,South Boston,Halifax County,36.699,-78.901
03530,Greenbriar,Fairfax County,38.873,-77.401
07342,Rockwood,Chesterfield County,37.463,-77.574
05201,Mantua,Fairfax County,38.854,-77.259
04972,Long Branch,Fairfax County,38.831,-77.270
05688,Montrose,Henrico County,37.521,-77.378
03031,Floris,Fairfax County,38.937,-77.413
00327,Ashland,Hanover County,37.759,-77.480
01830,Collinsville,Henry County,36.715,-79.915
01203,Bull Run,Fairfax County,38.840,-77.490
04826,Lexington,Lexington city,37.784,-79.443
09410,Woodlake,Chesterfield County,37.421,-77.679
06161,North Springfield,Fairfax County,38.804,-77.205
02922,Farmville,Cumberland County,37.296,-78.400
08246,Strasburg,Shenandoah County,38.989,-78.359
01401,Carrollton,Isle of Wight County,36.947,-76.561
05686,Montpelier,Hanover County,37.821,-77.684
06905,Potomac Mills,Prince William County,38.646,-77.294
00601,Bedford,Bedford County,37.334,-79.523
01187,Buena Vista,Buena Vista city,37.734,-79.354
00989,Braddock,Fairfax County,38.831,-77.357
04106,Hutchison,Fairfax County,38.964,-77.411
00639,Belle Haven,Fairfax County,38.785,-77.063
03084,Fort Lee,Prince George County,37.236,-77.333
01064,Bridgewater,Rockingham County,38.382,-78.977
09431,Woodstock,Shenandoah County,38.882,-78.506
05248,Marion,Smyth County,36.835,-81.515
02003,Covington,Covington city,37.793,-79.994
02476,Dumfries,Prince William County,38.568,-77.328
02753,Emporia,Emporia city,36.686,-77.542
07224,Richlands,Tazewell County,37.093,-81.794
02820,Ettrick,Chesterfield County,37.240,-77.430
06341,Orange,Orange County,38.245,-78.111
00894,Bluefield,Tazewell County,37.253,-81.271
05700,Moorefield,Loudoun County,38.996,-77.504
07348,Rocky Mount,Franklin County,36.998,-79.892
05080,Luray,Page County,38.665,-78.459
07991,South Hill,Mecklenburg County,36.727,-78.129
08745,Union Mill,Fairfax County,38.801,-77.387
00718,Berryville,Clarke County,39.152,-77.982
02901,Falmouth,Stafford County,38.324,-77.468
08436,Tazewell,Tazewell County,37.115,-81.520
02773,Enon,Chesterfield County,37.331,-77.323
08858,Verona,Augusta County,38.202,-79.008
03787,Hayfield,Fairfax County,38.752,-77.136
05786,Mount Hermon,Pittsylvania County,36.678,-79.422
01090,Broadway,Rockingham County,38.613,-78.799
04468,Kings Park,Fairfax County,38.806,-77.243
08759,University Center,Loudoun County,39.057,-77.444
04928,Loch Lomond,Prince William County,38.786,-77.478
08652,Troy,Fluvanna County,37.951,-78.246
06183,Norton,Norton city,36.933,-82.629
04886,Linville,Rockingham County,38.521,-78.838
01753,Cloverdale,Botetourt County,37.365,-79.906
02161,Dahlgren,King George County,38.331,-77.051
09150,West Point,King William County,37.532,-76.796
00824,Blackstone,Nottoway County,37.080,-77.997
