phoneme,name,latitude,longitude
01225,Burlington,44.476,-73.212
02806,Essex,44.527,-73.070
01804,Colchester,44.554,-73.225
09312,Williston,44.429,-73.096
08067,Springfield,43.292,-72.480
05512,Middlebury,44.002,-73.119
00686,Bennington,42.878,-73.197
00489,Barre,44.197,-72.502
05686,Montpelier,44.260,-72.575
07790,Shelburne,44.389,-73.243
08084,St. Albans,44.811,-73.146
08358,Swanton,44.910,-73.124
06171,Northfield,44.148,-72.691
04872,Lyndon,44.551,-72.013
05746,Morristown,44.547,-72.642
09023,Waterbury,44.388,-72.740
02869,Fairfax,44.702,-72.998
04275,Jericho,44.464,-72.963
03281,Georgia,44.722,-73.128
07332,Rockingham,43.170,-72.507
07066,Randolph,43.922,-72.611
01444,Castleton,43.653,-73.161
02304,Derby,44.952,-72.136
06065,Newport,44.936,-72.205
01006,Brandon,43.805,-73.075
05583,Milton,44.640,-73.110
07487,Rutland,43.645,-72.953
01571,Charlotte,44.306,-73.236
01308,Cambridge,44.627,-72.815
01078,Bristol,44.098,-73.049
09343,Windsor,43.475,-72.421
09307,Williamstown,44.111,-72.542
04297,Johnson,44.648,-72.689
09289,Wilder,43.673,-72.309
08735,Underhill,44.542,-72.883
09177,Westminster,43.075,-72.508
01609,Chester,43.286,-72.630
06914,Poultney,43.540,-73.189
03695,Hardwick,44.520,-72.348
00702,Berlin,44.204,-72.608
09059,Weathersfield,43.392,-72.477
08492,Thetford,43.837,-72.249
07444,Royalton,43.815,-72.553
02859,Fair Haven,43.621,-73.260
02958,Ferrisburgh,44.203,-73.279
08851,Vergennes,44.167,-73.254
00285,Arlington,43.062,-73.222
01682,Clarendon,43.532,-72.989
07221,Richford,44.949,-72.599
05747,Morrisville,44.562,-72.598
08856,Vernon,42.764,-72.522
03313,Guilford,42.774,-72.619
07793,Sheldon,44.899,-72.921
03446,Grand Isle,44.716,-73.300
05654,Monkton,44.227,-73.132
09170,Westford,44.607,-73.004
02870,Fairfield,44.808,-72.928
09003,Warren,44.113,-72.874
04961,Londonderry,43.201,-72.799
02419,Dover,42.965,-72.847
05517,Middlesex,44.319,-72.632
05707,Moretown,44.257,-72.711
08652,Troy,44.932,-72.385
06969,Proctor,43.653,-73.033
05993,New Haven,44.105,-73.166
01280,Calais,44.362,-72.466
01217,Burke,44.611,-71.931
00701,Berkshire,44.972,-72.743
07772,Sharon,43.788,-72.435
05258,Marlboro,42.876,-72.738
01942,Corinth,44.043,-72.282
02511,Duxbury,44.299,-72.847
05787,Mount Holly,43.423,-72.806
03133,Franklin,44.977,-72.902
03017,Fletcher,44.713,-72.900
08671,Tunbridge,43.901,-72.485
09159,West Windsor,43.471,-72.503
00036,Addison,44.059,-73.332
02604,Eden,44.714,-72.539
09025,Waterford,44.363,-71.934
01103,Brookfield,44.024,-72.588
07829,Shoreham,43.899,-73.315
06377,Orwell,43.809,-73.278
01955,Cornwall,43.963,-73.218
07544,Salisbury,43.925,-73.112
00999,Braintree,43.967,-72.709
08585,Topsham,44.156,-72.246
05679,Montgomery,44.860,-72.605
05097,Lyndonville,44.534,-72.003
01069,Brighton,44.797,-71.870
07493,Ryegate,44.222,-72.111
05451,Mendon,43.625,-72.910
07839,Shrewsbury,43.523,-72.860
08241,Strafford,43.875,-72.365
06341,Orange,44.167,-72.347
08316,Sunderland,43.082,-73.067
09014,Washington,44.076,-72.423
01124,Brownington,44.829,-72.128
01567,Charleston,44.871,-72.025
00475,Barnard,43.727,-72.633
04778,Leicester,43.875,-73.100
03577,Groton,44.232,-72.258
00082,Albany,44.736,-72.336
00688,Benson,43.710,-73.303
08946,Walden,44.488,-72.225
06144,North Hero,44.835,-73.226
09443,Worcester,44.425,-72.595
00992,Bradford,43.993,-72.129
06849,Pomfret,43.700,-72.512
09431,Woodstock,43.624,-72.518
08965,Wallingford,43.472,-72.977
08348,Sutton,44.665,-72.036
09400,Woodbury,44.458,-72.379
01064,Bridgewater,43.640,-72.690
01330,Canaan,44.991,-71.598
05044,Lowell,44.793,-72.458
02723,Elmore,44.488,-72.514
08140,Stamford,42.808,-73.076
08239,Stowe,44.465,-72.685
03542,Greensboro,44.602,-72.285
08101,St. George,44.376,-73.121
06364,Orleans,44.817,-72.233
05065,Ludlow,43.396,-72.701
03640,Halifax,42.784,-72.748
07225,Richmond,44.405,-72.993
04265,Jeffersonville,44.644,-72.829
05172,Manchester,43.164,-73.072
09204,Wheelock,44.561,-72.160
00727,Bethel,43.833,-72.634
00501,Barton,44.748,-72.176
08208,Stockbridge,43.751,-72.761
07462,Rupert,43.253,-73.197
09031,Waterville,44.738,-72.762
07102,Reading,43.496,-72.600
07789,Sheffield,44.641,-72.111
06188,Norwich,43.715,-72.308
07440,Roxbury,44.065,-72.730
03437,Grafton,43.182,-72.617
06824,Plymouth,43.509,-72.694
05725,Morgan,44.896,-71.941
03615,Holland,44.972,-71.987
09180,Weston,43.321,-72.803
03474,Graniteville,44.151,-72.493
06766,Pittsford,43.707,-73.028
06047,Newark,44.735,-71.940
02132,Kirby,44.509,-71.921
04095,Huntington,44.325,-72.987
00208,Andover,43.293,-72.723
06927,Pownal,42.766,-73.236
03738,Hartland,43.541,-72.399
01108,Brookline,43.025,-72.611
04258,Jay,44.957,-72.507
08274,Sudbury,43.798,-73.174
06161,North Springfield,43.333,-72.525
