phoneme,name,county,latitude,longitude
4671,Spokane,Spokane County,47.659,-117.426
5114,Vancouver,Clark County,45.639,-122.661
0359,Bellevue,King County,47.610,-122.201
2569,Kent,King County,47.381,-122.235
1634,Everett,Snohomish County,47.979,-122.202
0362,Bellingham,Whatcom County,48.760,-122.488
2616,Kirkland,King County,47.681,-122.209
0214,Auburn,King County,47.304,-122.210
4158,Redmond,King County,47.674,-122.122
3086,Marysville,Snohomish County,48.052,-122.177
4642,South Hill,Pierce County,47.141,-122.270
2715,Lakewood,Pierce County,47.172,-122.518
4201,Richland,Benton County,46.286,-119.284
3674,Olympia,Thurston County,47.038,-122.901
2666,Lacey,Thurston County,47.034,-122.823
2971,Lynnwood,Snohomish County,47.821,-122.315
3794,Parkland,Pierce County,47.155,-122.434
2899,Longview,Cowlitz County,46.138,-122.938
3393,Mount Vernon,Skagit County,48.421,-122.334
5200,Walla Walla,Walla Walla County,46.065,-118.343
1992,Graham,Pierce County,47.053,-122.294
4068,Pullman,Whitman County,46.731,-117.180
1322,Des Moines,King County,47.402,-122.324
3042,Maple Valley,King County,47.393,-122.046
0735,Camas,Clark County,45.587,-122.400
3613,Oak Harbor,Island County,48.293,-122.643
2563,Kenmore,King County,47.757,-122.244
2212,Hazel Dell,Clark County,45.672,-122.663
4587,Silverdale,Kitsap County,47.645,-122.695
0297,Battle Ground,Clark County,45.781,-122.533
3232,Mill Creek,Snohomish County,47.860,-122.204
1151,Covington,King County,47.358,-122.122
3299,Monroe,Snohomish County,47.855,-121.971
0171,Arlington,Snohomish County,48.199,-122.125
4397,Salmon Creek,Clark County,45.711,-122.649
0875,Centralia,Lewis County,46.716,-122.954
1662,Fairwood,King County,47.448,-122.157
0004,Aberdeen,Grays Harbor County,46.975,-123.816
4844,Sunnyside,Yakima County,46.324,-120.009
2838,Lynden,Whatcom County,48.947,-122.452
1703,Ferndale,Whatcom County,48.846,-122.591
0917,Cheney,Spokane County,47.487,-117.576
3526,Newcastle,King County,47.539,-122.156
2556,Kelso,Cowlitz County,46.147,-122.908
1486,Edgewood,Pierce County,47.250,-122.294
4212,Ridgefield,Clark County,45.815,-122.743
1708,Fife,Pierce County,47.239,-122.357
2006,Grandview,Yakima County,46.251,-119.902
4550,Shelton,Mason County,47.215,-123.101
4834,Sumner,Pierce County,47.203,-122.240
1418,DuPont,Pierce County,47.097,-122.631
1662,Fairwood,Spokane County,47.767,-117.417
0688,Burlington,Skagit County,48.476,-122.325
3220,Midland,Pierce County,47.167,-122.405
3260,Milton,King County,47.252,-122.317
4832,Summit,Pierce County,47.162,-122.357
3726,Othello,Adams County,46.826,-119.175
1601,Ephrata,Grant County,47.318,-119.554
4741,Stanwood,Snohomish County,48.241,-122.371
4089,Quincy,Grant County,47.234,-119.853
5202,Waller,Pierce County,47.201,-122.369
0261,Barberton,Clark County,45.693,-122.599
1017,Clover Creek,Pierce County,47.143,-122.380
3568,North Bend,King County,47.496,-121.787
3233,Mill Plain,Clark County,45.645,-122.493
2307,Hobart,King County,47.422,-121.973
0982,Clarkston,Asotin County,46.416,-117.045
2700,Lake Shore,Clark County,45.691,-122.691
3153,Mead,Spokane County,47.767,-117.355
3800,Parkwood,Kitsap County,47.533,-122.610
3753,Pacific,King County,47.262,-122.252
3564,Normandy Park,King County,47.436,-122.341
5480,Woodland,Clark County,45.918,-122.754
0582,Brier,Snohomish County,47.785,-122.274
0257,Bangor,Kitsap County,-122.714,47.723
4065,Prosser,Benton County,46.207,-119.769
4258,Rochester,Thurston County,46.822,-123.096
0464,Blaine,Whatcom County,48.994,-122.747
3015,Manchester,Kitsap County,47.556,-122.545
1714,Finley,Benton County,46.154,-119.034
0451,Black Diamond,King County,47.309,-122.003
3044,Maplewood,Pierce County,47.402,-122.557
4995,Town and Country,Spokane County,47.727,-117.422
0660,Buckley,Pierce County,47.163,-122.027
2011,Granite Falls,Snohomish County,48.084,-121.969
1290,Deer Park,Spokane County,47.954,-117.477
1613,Esperance,Snohomish County,47.789,-122.355
4310,Rosedale,Pierce County,47.331,-122.652
2810,Lexington,Cowlitz County,46.187,-122.905
0410,Bethel,Kitsap County,47.494,-122.631
2645,La Center,Clark County,45.862,-122.670
0679,Burbank,Walla Walla County,46.200,-119.013
2008,Granger,Yakima County,46.342,-120.187
1001,Clearview,Snohomish County,47.834,-122.126
2421,Indianola,Kitsap County,47.747,-122.526
4950,Three Lakes,Snohomish County,47.945,-122.012
0391,Benton City,Benton County,46.263,-119.488
1556,Elma,Grays Harbor County,47.003,-123.409
0766,Canyon Creek,Snohomish County,48.110,-121.982
2000,Grand Mound,Thurston County,46.804,-123.010
0066,Algona,King County,47.279,-122.252
4132,Raymond,Pacific County,46.686,-123.733
0717,Kalama,Cowlitz County,46.008,-122.845
1636,Everson,Whatcom County,48.920,-122.343
2271,High Bridge,Snohomish County,47.800,-122.024
2607,Kingston,Kitsap County,47.799,-122.498
3165,Medina,King County,47.621,-122.228
1469,Eatonville,Pierce County,46.867,-122.266
