phoneme,name,county,latitude,longitude
3396,Milwaukee,Milwaukee County,43.063,-87.967
4226,Racine,Racine County,42.726,-87.783
0153,Appleton,Calumet County,44.279,-88.388
1572,Eau Claire,Chippewa County,44.820,-91.495
3845,Oshkosh,Winnebago County,44.025,-88.543
2637,Janesville,Rock County,42.683,-89.019
2804,La Crosse,La Crosse County,43.801,-91.240
3602,New Berlin,Waukesha County,42.976,-88.108
5361,Wausau,Marathon County,44.959,-89.630
2211,Greenfield,Milwaukee County,42.961,-88.013
1938,Franklin,Milwaukee County,42.889,-88.038
3742,Oak Creek,Milwaukee County,42.886,-87.863
4960,Sun Prairie,Dane County,43.184,-89.214
1850,Fitchburg,Dane County,42.961,-89.470
3519,Mount Pleasant,Racine County,42.697,-87.856
0759,Caledonia,Racine County,42.808,-87.924
2284,Watertown,Dodge County,43.189,-88.729
2167,Howard,Brown County,44.569,-88.072
3216,Marshfield,Marathon County,44.663,-90.172
1294,Cudahy,Milwaukee County,42.960,-87.861
4368,River Falls,Pierce County,44.861,-92.624
0367,Bellevue,Brown County,44.444,-87.920
2341,Hartford,Dodge County,43.322,-88.378
5477,Whitefish Bay,Milwaukee County,43.113,-87.900
2210,Greendale,Milwaukee County,42.941,-87.996
5486,Whitewater,Jefferson County,42.837,-88.734
0085,Allouez,Brown County,44.477,-88.016
4695,Shorewood,Milwaukee County,43.089,-87.888
2054,Harrison,Calumet County,44.192,-88.294
2089,Glendale,Milwaukee County,43.135,-87.936
4916,Stoughton,Dane County,42.917,-89.218
1903,Fort Atkinson,Jefferson County,42.929,-88.837
2220,Greenville,Outagamie County,44.300,-88.536
4328,Richfield,Washington County,43.256,-88.194
4979,Sussex,Waukesha County,43.134,-88.222
0707,Burlington,Racine County,42.675,-88.272
2998,Lisbon,Waukesha County,43.158,-88.250
2476,Hobart,Brown County,44.499,-88.150
3640,New Richmond,St. Croix County,45.123,-92.537
1652,Elkhorn,Walworth County,42.673,-88.545
0992,Portage,Columbia County,43.539,-89.463
1637,Sparta,Monroe County,43.944,-90.813
2344,Hartland,Waukesha County,43.105,-88.342
4825,St. Francis,Milwaukee County,42.968,-87.878
3335,Merrill,Lincoln County,45.181,-89.683
3272,McFarland,Dane County,43.013,-89.290
1169,Rice Lake,Barron County,45.506,-91.738
5539,Windsor,Dane County,43.218,-89.342
4099,Plymouth,Sheboygan County,43.749,-87.977
0102,Altoona,Eau Claire County,44.805,-91.443
3431,Monona,Dane County,43.062,-89.334
2165,Hudson,St. Croix County,44.983,-92.674
3540,Mukwonago,Walworth County,42.853,-88.321
4754,Somers,Kenosha County,42.640,-87.910
0192,Ashland,Ashland County,46.582,-90.872
3732,Norway,Racine County,42.797,-88.123
0380,Beloit,Rock County,42.553,-89.073
4364,Ripon,Fond du Lac County,43.842,-88.836
3540,Mukwonago,Waukesha County,42.890,-88.373
2193,Jefferson,Jefferson County,43.006,-88.807
2966,Washington,Eau Claire County,44.742,-91.401
2151,Grand Rapids,Wood County,44.379,-89.754
5245,Vernon,Waukesha County,42.904,-88.252
2752,Kimberly,Outagamie County,44.272,-88.339
1219,Cottage Grove,Dane County,43.076,-89.200
3631,New London,Outagamie County,44.396,-88.739
1589,Jackson,Washington County,43.324,-88.167
2029,Genesee,Waukesha County,42.953,-88.359
0067,Algoma,Winnebago County,44.023,-88.624
0669,Buchanan,Outagamie County,44.269,-88.237
3355,Middleton,Dane County,43.078,-89.570
1669,Elm Grove,Waukesha County,43.043,-88.079
