phoneme,name,county,latitude,longitude
0896,Charleston,Kanawha County,38.350,-81.633
2387,Huntington,Cabell County,38.411,-82.435
3785,Parkersburg,Wood County,39.267,-81.562
3338,Morgantown,Monongalia County,39.630,-79.956
5341,Wheeling,Marshall County,40.074,-80.696
3074,Martinsburg,Berkeley County,39.456,-77.964
1653,Fairmont,Marion County,39.485,-80.143
0977,Clarksburg,Harrison County,39.281,-80.345
4628,South Charleston,Kanawha County,38.368,-81.700
4687,St. Albans,Kanawha County,38.386,-81.836
5136,Vienna,Wood County,39.327,-81.548
0495,Bluefield,Mercer County,37.270,-81.222
0587,Bridgeport,Harrison County,39.286,-80.256
3607,Oak Hill,Fayette County,37.972,-81.149
1405,Dunbar,Kanawha County,38.361,-81.737
2392,Hurricane,Putnam County,38.433,-82.020
1537,Elkins,Randolph County,38.926,-79.847
3819,Pea Ridge,Cabell County,38.414,-82.320
0617,Brookhaven,Monongalia County,39.612,-79.905
4047,Princeton,Mercer County,37.366,-81.103
0676,Bunker Hill,Berkeley County,39.333,-78.054
2545,Keyser,Mineral County,39.441,-78.974
1987,Grafton,Taylor County,39.341,-80.019
0261,Barboursville,Cabell County,38.410,-82.295
5327,Westover,Monongalia County,39.635,-79.970
3971,Point Pleasant,Mason County,38.845,-82.137
5326,Weston,Lewis County,39.038,-80.467
2800,Lewisburg,Greenbrier County,37.802,-80.446
3953,Pleasant Valley,Marion County,39.455,-80.142
4821,Summersville,Nicholas County,38.281,-80.853
2604,Kingwood,Preston County,39.472,-79.683
4223,Ripley,Jackson County,38.819,-81.711
5401,Williamstown,Wood County,39.401,-81.448
5398,Williamson,Mingo County,37.674,-82.277
1212,Culloden,Cabell County,38.415,-82.071
1691,Fayetteville,Fayette County,38.053,-81.104
2984,Madison,Boone County,38.067,-81.819
3253,Milton,Cabell County,38.435,-82.132
2429,Inwood,Berkeley County,39.358,-78.040
0412,Bethlehem,Ohio County,40.044,-80.691
3321,Moorefield,Hardy County,39.062,-78.969
5271,Wellsburg,Brooke County,40.272,-80.610
5429,Winfield,Putnam County,38.533,-81.893
3859,Petersburg,Grant County,38.993,-79.124
2297,Hinton,Summers County,37.674,-80.889
5359,White Sulphur Springs,Greenbrier County,37.797,-80.298
1155,Craigsville,Nicholas County,38.331,-80.653
0930,Chester,Hancock County,40.613,-80.563
1151,Crab Orchard,Raleigh County,37.741,-81.231
4657,Spencer,Roane County,38.802,-81.351
3021,Mannington,Marion County,39.531,-80.343
5263,Welch,McDowell County,37.433,-81.585
0555,Bradley,Raleigh County,37.865,-81.194
4711,St. Marys,Pleasants County,39.392,-81.205
4736,Star City,Monongalia County,39.658,-79.986
4292,Romney,Hampshire County,39.342,-78.757
1627,Evans,Jackson County,38.820,-81.779
2163,Harrisville,Ritchie County,39.210,-81.052
4199,Richwood,Nicholas County,38.225,-80.533
2970,MacArthur,Raleigh County,37.758,-81.213
5295,West Liberty,Ohio County,40.170,-80.594
0501,Boaz,Wood County,39.361,-81.502
1931,Glen Dale,Marshall County,39.949,-80.754
1022,Coal City,Raleigh County,37.679,-81.210
4381,Salem,Harrison County,39.283,-80.559
