phoneme,name,county,latitude,longitude
0936,Cheyenne,Laramie County,41.140,-104.820
0817,Casper,Natrona County,42.867,-106.313
1921,Gillette,Campbell County,44.291,-105.502
4265,Rock Springs,Sweetwater County,41.587,-109.203
4555,Sheridan,Sheridan County,44.797,-106.956
1631,Evanston,Uinta County,41.268,-110.963
2041,Green River,Sweetwater County,41.529,-109.466
2466,Jackson,Teton County,43.480,-110.762
4246,Riverton,Fremont County,43.025,-108.380
1039,Cody,Park County,44.526,-109.057
4028,Powell,Park County,44.754,-108.757
1373,Douglas,Converse County,42.760,-105.382
4990,Torrington,Goshen County,42.062,-104.184
0667,Buffalo,Johnson County,44.348,-106.699
3250,Mills,Natrona County,42.841,-106.366
5347,Wheatland,Platte County,42.054,-104.953
3526,Newcastle,Weston County,43.855,-104.205
1632,Evansville,Natrona County,42.860,-106.268
2930,Lovell,Big Horn County,44.837,-108.390
3917,Pinedale,Sublette County,42.867,-109.861
0025,Afton,Lincoln County,42.725,-110.932
2966,Lyman,Uinta County,41.327,-110.293
4462,Saratoga,Carbon County,41.455,-106.806
0155,Arapahoe,Fremont County,42.962,-108.490
5510,Wright,Campbell County,43.747,-105.471
5429,Wilson,Teton County,43.501,-110.875
3404,Mountain View,Uinta County,41.269,-110.340
2078,Grover,Lincoln County,42.792,-110.937
0092,Alpine,Lincoln County,43.164,-111.018
0289,Basin,Big Horn County,44.380,-108.039
4601,Sleepy Hollow,Campbell County,44.241,-105.422
2083,Guernsey,Platte County,42.270,-104.742
4840,Sundance,Crook County,44.406,-104.376
1399,Dubois,Fremont County,43.534,-109.630
5085,Upton,Weston County,44.100,-104.628
4790,Story,Sheridan County,44.575,-106.887
1270,Dayton,Sheridan County,44.875,-107.262
2131,Hanna,Carbon County,41.870,-106.562
3720,Osmond,Lincoln County,42.683,-110.932
2943,Lucerne,Hot Springs County,43.735,-108.176
0214,Auburn,Lincoln County,42.792,-111.003
0441,Byron,Big Horn County,44.796,-108.507
0319,Bear River,Uinta County,41.384,-111.026
1046,Cokeville,Lincoln County,42.082,-110.955
3786,Parkman,Sheridan County,44.957,-107.333
2379,Hudson,Fremont County,42.906,-108.583
4294,Rolling Hills,Converse County,42.903,-105.844
4931,Thayne,Lincoln County,42.921,-111.002
2676,LaGrange,Goshen County,41.640,-104.164
4592,Sinclair,Carbon County,41.775,-107.113
0428,Big Piney,Sublette County,42.538,-110.114
0691,Burns,Laramie County,41.193,-104.359
0094,Alta,Teton County,43.754,-111.037
0334,Bedford,Lincoln County,42.899,-110.933
4108,Ralston,Park County,44.716,-108.865
0861,Centennial,Albany County,41.298,-106.142
0688,Burlington,Big Horn County,44.447,-108.432
2257,Hulett,Crook County,44.683,-104.602
0815,Kaycee,Johnson County,43.710,-106.639
1870,Garland,Park County,44.780,-108.660
3820,Pavillion,Fremont County,43.245,-108.690
4168,Reliance,Sweetwater County,41.669,-109.197
2510,Johnstown,Fremont County,43.118,-108.702
1689,Farson,Sweetwater County,42.111,-109.441
2553,Kelly,Teton County,43.623,-110.624
1479,Eden,Sweetwater County,42.051,-109.437
4851,Superior,Sweetwater County,41.760,-108.964
1815,Freedom,Lincoln County,42.985,-111.030
0791,Carpenter,Laramie County,41.046,-104.367
1483,Edgerton,Natrona County,43.413,-106.249
5531,Yoder,Goshen County,41.917,-104.296
1000,Clearmont,Sheridan County,44.640,-106.381
4599,Slater,Platte County,41.873,-104.820
0521,Bondurant,Sublette County,43.203,-110.409
5382,Whiting,Platte County,42.012,-104.961
4907,Taylor,Lincoln County,42.069,-110.986
2008,Granger,Sweetwater County,41.594,-109.969
3037,Manville,Niobrara County,42.779,-104.618
1248,Daniel,Sublette County,42.864,-110.071
3699,Orin,Converse County,42.653,-105.192
1339,Dixon,Carbon County,41.033,-107.536
2576,Kirby,Hot Springs County,43.804,-108.181
2178,Hartville,Platte County,42.327,-104.725
3142,McKinnon,Sweetwater County,41.028,-109.936
1660,Fairview,Lincoln County,42.689,-110.982
3685,Opal,Lincoln County,41.769,-110.326
4245,Riverside,Carbon County,41.217,-106.779
5433,Winchester,Washakie County,43.874,-108.142
3711,Osage,Weston County,43.981,-104.422
3733,Otto,Big Horn County,44.403,-108.274
2294,Hillsdale,Laramie County,41.213,-104.478
0044,Albany,Albany County,41.184,-106.132
0534,Boulder,Sublette County,42.748,-109.718
2394,Huntley,Goshen County,41.933,-104.146
0182,Arvada,Sheridan County,44.654,-106.131
2920,Lost Springs,Converse County,42.766,-104.925
3978,Point of Rocks,Sweetwater County,41.678,-108.791
0171,Arlington,Carbon County,41.595,-106.208
0206,Atlantic City,Fremont County,42.497,-108.731
0275,Barnum,Johnson County,43.664,-106.909
0415,Beulah,Crook County,44.544,-104.089
0672,Buford,Albany County,41.124,-105.302
0804,Carter,Uinta County,41.438,-110.428
0975,Clark,Park County,44.899,-109.151
1619,Etna,Lincoln County,43.033,-111.011
1873,Garrett,Albany County,42.113,-105.610
2010,Granite,Laramie County,41.100,-105.158
2360,Horse Creek,Laramie County,41.415,-105.182
2827,Linch,Johnson County,43.606,-106.196
3193,Meriden,Laramie County,41.544,-104.319
3293,Moneta,Fremont County,43.162,-107.725
3336,Moran,Teton County,43.842,-110.508
3404,Mountain View,Natrona County,42.854,-106.389
3628,Oakley,Lincoln County,41.751,-110.526
3746,Owl Creek,Hot Springs County,43.781,-108.567
4540,Shawnee,Converse County,42.748,-105.010
5137,Veteran,Goshen County,41.964,-104.381
