id,name,state,country,level,population,latitude,longitude,wiki
40451,Southampton,,United Kingdom,city-international,271173,50.903,-1.404,59763
40450,Southampton,NY,,city-us,69325,40.882,-72.462,8948
40444,Southampton,NJ,,city-us,10286,39.916,-74.718,12106
40446,Southampton,PA,,city-us,8508,40.024,-77.545,542
40445,Southampton,PA,,city-us,7761,40.042,-77.459,542
40447,Southampton,MA,,city-us,6187,42.227,-72.742,3250
40442,Southampton,PA,,city-us,839,39.783,-78.529,542
40449,Southampton,PA,,city-us,599,39.766,-78.830,542
40443,Southampton,PA,,city-us,0,40.174,-75.044,5653
40448,Southampton,VA,,city-us,0,37.556,-77.549,100
